condition,split,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall
color_s3,val,color_attenuation,3,3,logistic_fusion,boundary,2127005.0,0.376559528538955,0.6167563854126039,0.4978568108612228,0.3166234074191103,0.08198266311838691,0.2346407443007234,1985628.0,131636.0,7.0,0.12835559859990925,float32,2.425398400053382,0.48471230000723153,0.3525441348165522,0.33266905813573544,0.3160405237678185,0.6262564526896786,0.08315562636089414,0.5926958500430182,0.1573980203360035,0.5521214101518332,0.2932452206396452
color_s3,val,color_attenuation,3,3,logistic_fusion,interior,19401571.0,0.12846676178954786,0.7886771573151298,0.39240378779961343,0.04928474892811855,0.008629829749614938,0.04065491917850361,10638007.0,4067856.0,20.0,0.6613598455506515,float32,2.425398400053382,2.6720707999775186,0.08970333101316995,0.06828280724943862,0.05727069235923452,0.5346100678398358,0.20807339905964276,0.47733792814811987,0.3715654873885487,0.36920250031247465,0.5747830353743314
turbidity_s1,val,turbidity,1,3,logistic_fusion,full,21528576.0,0.1436848400934646,0.7926271775665136,0.3994806491562465,0.05487163696472023,0.01085597857144167,0.04401565839327856,11519197.0,4449473.0,22.0,0.6716120936191972,float32,2.3517741999821737,2.9136543999193236,0.10652162121054708,0.08105093573013218,0.06384935266108754,0.5299773603275274,0.18442358235299822,0.4781541560102896,0.3327798844610824,0.39422038053601305,0.5487293628549169
turbidity_s1,val,turbidity,1,3,logistic_fusion,boundary,2127005.0,0.3680071273927424,0.6169352072752702,0.4867835851866599,0.3093483872200996,0.07800003134165231,0.2313483558784473,1987049.0,130509.0,6.0,0.12715767005719308,float32,2.3517741999821737,0.4511725000338629,0.3445947746048827,0.32520081052935934,0.308562539962281,0.6076670647196547,0.08256244306952512,0.5787184827527845,0.15725778119023498,0.5392323948462745,0.2930554082833282
turbidity_s1,val,turbidity,1,3,logistic_fusion,interior,19401571.0,0.11909226319868634,0.7883328568913651,0.36470974434302766,0.04612131676632909,0.007391062028574111,0.03873025473775498,10157929.0,3902987.0,22.0,0.6776064165113227,float32,2.3517741999821737,2.321220999932848,0.08396284516248226,0.06378439581278758,0.052687263918239316,0.5026425682856757,0.21103083775178236,0.4352573347119152,0.36547927206061515,0.3403236592905473,0.571529535696062
turbidity_s2,val,turbidity,2,3,logistic_fusion,full,21528576.0,0.14813831625463755,0.7986486033116461,0.4145881687424077,0.05461844495284423,0.011558388335650567,0.043060056617193664,11660141.0,4510941.0,22.0,0.6679204421137748,float32,2.199108500033617,2.763792800018564,0.10944835991204592,0.08190349443103559,0.06514158854901432,0.5417779528422219,0.18286222876094277,0.4963481102794518,0.33505727285811177,0.413077639119719,0.5576919278052507
turbidity_s2,val,turbidity,2,3,logistic_fusion,boundary,2127005.0,0.37007388323017576,0.6199225110762874,0.4933393285078977,0.30919519846114035,0.07895180145885619,0.23024339700228416,1986700.0,130829.0,6.0,0.12747219682135208,float32,2.199108500033617,0.43543889990542084,0.34590830614766194,0.3267123255469545,0.30997498831355147,0.62200637511636,0.08403872710249266,0.5875618826427709,0.15876917838935195,0.5435201139630608,0.29373600169726444
turbidity_s2,val,turbidity,2,3,logistic_fusion,interior,19401571.0,0.12380739683399865,0.7967616976213706,0.3844830809253317,0.04563628901824544,0.008001593867120866,0.03763469515112458,10314105.0,3955263.0,22.0,0.6722511800719643,float32,2.199108500033617,2.195460999966599,0.08600265705858644,0.06514163124803617,0.05350280905081326,0.5225089915357409,0.21101696961522162,0.4640498351165214,0.3748160951983674,0.3584703819148703,0.5790776076181341
turbidity_s3,val,turbidity,3,3,logistic_fusion,full,21528576.0,0.15635962174181886,0.7900613313270054,0.41195586526160105,0.060632889697954044,0.012916319453682667,0.04771657024427138,11740076.0,4532670.0,22.0,0.6652167797814402,float32,2.3049901999766007,2.6874164999462664,0.11853134327557083,0.09080866413541862,0.07293362364071038,0.5374650813012284,0.17186827877131483,0.4968140025956194,0.31773810231121147,0.41856337018047635,0.5353855980036837
turbidity_s3,val,turbidity,3,3,logistic_fusion,boundary,2127005.0,0.3788077602074278,0.6087511566084972,0.49150772332406567,0.32542616607433067,0.08304901569622172,0.24237715037810895,1990210.0,127808.0,6.0,0.12440168217752191,float32,2.3049901999766007,0.42109289998188615,0.35617521763773274,0.33763437321491957,0.32164061618479095,0.6116820716307322,0.08073836515142865,0.5824984367727467,0.15377187778475562,0.5435013081774608,0.2869536293975868
turbidity_s3,val,turbidity,3,3,logistic_fusion,interior,19401571.0,0.13197250882415656,0.7895634432299509,0.3837181312175252,0.05091768399632276,0.00911893485519538,0.04179874914112738,10420635.0,3969383.0,22.0,0.6674881637162269,float32,2.3049901999766007,2.2061879000393674,0.0948999319299113,0.07237274661453,0.06019571316020057,0.5194381076180393,0.19679793663204548,0.4656259954086214,0.35282061055882624,0.3703716064288595,0.5612861134305601
lowlight_s1,val,lowlight,1,3,logistic_fusion,full,21528576.0,0.1494818793402778,0.7988820414967327,0.4165866600078414,0.05613406234331728,0.011774863391035745,0.044359198952281534,11700243.0,4525757.0,21.0,0.6667459101800324,float32,2.178759500035085,2.685193800018169,0.11102091230782198,0.0838181298682025,0.06461988994827075,0.5453392652929269,0.18240985764412398,0.49563092410182186,0.3315659519249055,0.41213679676039944,0.551420513515294
lowlight_s1,val,lowlight,1,3,logistic_fusion,boundary,2127005.0,0.3706681460551339,0.6191976964839087,0.49447124622544586,0.3098703977852534,0.07922672205004251,0.23064367573521088,1986254.0,131305.0,6.0,0.1279056701794307,float32,2.178759500035085,0.44132860004901886,0.3462008405139202,0.32674464799095443,0.30976610983649716,0.6262000357307407,0.08446968784127101,0.5908763945632601,0.15940883775381684,0.5463621383118517,0.29479853832953035
lowlight_s1,val,lowlight,1,3,logistic_fusion,interior,19401571.0,0.12523310612321034,0.7975839770091312,0.38736766608905393,0.04719670184633003,0.008191189492111192,0.039005512354218834,10359794.0,3967003.0,21.0,0.6705013733166247,float32,2.178759500035085,2.23403920000419,0.08795891329304717,0.06521134209684178,0.052094307530317865,0.522610014235954,0.2086549926143723,0.4607006233512941,0.3678746390014648,0.36532008354991796,0.5834242560559472
lowlight_s2,val,lowlight,2,3,logistic_fusion,full,21528576.0,0.16483277853584,0.797893202205744,0.438216684254756,0.06370077786793729,0.014399695074838648,0.049301082793098645,12035684.0,4637283.0,20.0,0.6563450829260606,float32,2.292888000025414,2.7841152999317273,0.1255682434287987,0.09437177713969822,0.07270210412684695,0.564612250320272,0.17126822718159057,0.5182136954689999,0.3143875850155624,0.44667669674451355,0.541975672198872
