method,fit_scope,seed,target_alpha,condition,coverage,selective_risk,risk_excess,worst_condition_risk
global_crc,calibration_cluster_mean,,0.1,clean,0.16999999999999996,0.0737810083819016,-0.026218991618098403,0.0737810083819016
global_crc,calibration_cluster_mean,,0.1,color_s1,0.16999999999999996,0.07524987325195766,-0.024750126748042348,0.07524987325195766
global_crc,calibration_cluster_mean,,0.1,color_s2,0.16999999999999996,0.07625302150507786,-0.023746978494922147,0.07625302150507786
global_crc,calibration_cluster_mean,,0.1,color_s3,0.16999999999999996,0.07828656868088636,-0.021713431319113644,0.07828656868088636
global_crc,calibration_cluster_mean,,0.1,turbidity_s1,0.16999999999999996,0.0724427211193772,-0.0275572788806228,0.0724427211193772
global_crc,calibration_cluster_mean,,0.1,turbidity_s2,0.16999999999999996,0.07072531496554066,-0.029274685034459347,0.07072531496554066
global_crc,calibration_cluster_mean,,0.1,turbidity_s3,0.16999999999999996,0.07478685783627949,-0.025213142163720517,0.07478685783627949
global_crc,calibration_cluster_mean,,0.1,lowlight_s1,0.16999999999999996,0.07553795722601188,-0.024462042773988127,0.07553795722601188
global_crc,calibration_cluster_mean,,0.1,lowlight_s2,0.16999999999999996,0.08571420028281636,-0.014285799717183648,0.08571420028281636
global_crc,calibration_cluster_mean,,0.1,lowlight_s3,0.16999999999999996,0.15759611920450875,0.057596119204508744,0.15759611920450875
global_crc,calibration_cluster_mean,,0.1,blur_s1,0.16999999999999996,0.07609501389065897,-0.02390498610934104,0.07609501389065897
global_crc,calibration_cluster_mean,,0.1,blur_s2,0.16999999999999996,0.08739472904054398,-0.01260527095945603,0.08739472904054398
global_crc,calibration_cluster_mean,,0.1,blur_s3,0.16999999999999996,0.11214401882360307,0.012144018823603067,0.11214401882360307
oracle_condition_crc,condition_label_diagnostic_only,,0.1,clean,0.2700000000000001,0.09176114042975403,-0.008238859570245977,0.09176114042975403
oracle_condition_crc,condition_label_diagnostic_only,,0.1,color_s1,0.24000000000000005,0.0870276563796315,-0.012972343620368504,0.0870276563796315
oracle_condition_crc,condition_label_diagnostic_only,,0.1,color_s2,0.23000000000000004,0.08721783823178934,-0.012782161768210662,0.08721783823178934
oracle_condition_crc,condition_label_diagnostic_only,,0.1,color_s3,0.23000000000000004,0.08943738938399126,-0.010562610616008744,0.08943738938399126
oracle_condition_crc,condition_label_diagnostic_only,,0.1,turbidity_s1,0.2700000000000001,0.0898448990926125,-0.010155100907387499,0.0898448990926125
oracle_condition_crc,condition_label_diagnostic_only,,0.1,turbidity_s2,0.29999999999999993,0.09381673311368825,-0.006183266886311753,0.09381673311368825
oracle_condition_crc,condition_label_diagnostic_only,,0.1,turbidity_s3,0.25,0.0892625386420351,-0.010737461357964911,0.0892625386420351
oracle_condition_crc,condition_label_diagnostic_only,,0.1,lowlight_s1,0.2599999999999999,0.09089104474577192,-0.009108955254228085,0.09089104474577192
oracle_condition_crc,condition_label_diagnostic_only,,0.1,lowlight_s2,0.18,0.08730868344781706,-0.012691316552182946,0.08730868344781706
oracle_condition_crc,condition_label_diagnostic_only,,0.1,lowlight_s3,0.009999999999999998,0.1232953476546416,0.0232953476546416,0.1232953476546416
oracle_condition_crc,condition_label_diagnostic_only,,0.1,blur_s1,0.2599999999999999,0.09385918777609957,-0.006140812223900435,0.09385918777609957
oracle_condition_crc,condition_label_diagnostic_only,,0.1,blur_s2,0.16999999999999996,0.08739472904054398,-0.01260527095945603,0.08739472904054398
oracle_condition_crc,condition_label_diagnostic_only,,0.1,blur_s3,0.030000000000000006,0.06853894464119835,-0.03146105535880166,0.06853894464119835
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.1,clean,0.19806262230919766,0.07936894305686215,-0.020631056943137854,0.07936894305686215
quality_group_crc_global_fallback,frozen_train_quality_groups_calibration_crc,20260722.0,0.1,color_s1,0.19659491193737774,0.0788954872869337,-0.021104512713066306,0.0788954872869337
