condition,class_id,class_name,clean_global,raw,classwise_ece_delta_clean_minus_raw
color_s3,2,aquatic_plants,0.0141174616936877,0.0260349929597643,-0.011917531266076599
color_s3,3,wrecks_ruins,0.0086686175003539,0.0163240017535414,-0.0076553842531875
color_s3,4,robots_instruments,0.0021350544682903,0.0014369911499216,0.0006980633183687002
color_s3,5,reefs_invertebrates,0.0342147104347698,0.0627288398137273,-0.028514129378957503
color_s3,6,fish_vertebrates,0.0186479426781151,0.0102123884410598,0.008435554237055299
color_s3,7,seafloor_rocks,0.0176590098232343,0.0472579220651908,-0.029598912241956498
lowlight_s1,0,background_waterbody,0.0168300301402338,0.0264502497293963,-0.0096202195891625
lowlight_s1,1,human_divers,0.0058334600202674,0.0011903466159226,0.0046431134043448
lowlight_s1,2,aquatic_plants,0.0100859627460104,0.0229322719293355,-0.012846309183325102
lowlight_s1,3,wrecks_ruins,0.0067917068712772,0.0175433478110792,-0.010751640939802
lowlight_s1,4,robots_instruments,0.0020601448492096,0.0013157893694704,0.0007443554797392001
lowlight_s1,5,reefs_invertebrates,0.0171620319695986,0.0570448412274824,-0.0398828092578838
lowlight_s1,6,fish_vertebrates,0.0183276793129181,0.0139398962564605,0.0043877830564576
lowlight_s1,7,seafloor_rocks,0.0165187008999963,0.0472592405665863,-0.03074053966659
lowlight_s2,0,background_waterbody,0.0135431771051093,0.0302739446653872,-0.0167307675602779
lowlight_s2,1,human_divers,0.0065496702581441,0.0010435772053387,0.005506093052805401
lowlight_s2,2,aquatic_plants,0.0159603381652809,0.0258965909179733,-0.009936252752692398
lowlight_s2,3,wrecks_ruins,0.0051421731660173,0.0209557509236107,-0.0158135777575934
lowlight_s2,4,robots_instruments,0.0016690241387921,0.0014401143547234,0.00022890978406870017
lowlight_s2,5,reefs_invertebrates,0.0321411845829922,0.0647101104952174,-0.0325689259122252
lowlight_s2,6,fish_vertebrates,0.0167025585641771,0.0140453292250345,0.0026572293391426
lowlight_s2,7,seafloor_rocks,0.0182941649498062,0.0519544679611812,-0.033660303011375
lowlight_s3,0,background_waterbody,0.0656751690310521,0.0892408403640264,-0.023565671332974297
lowlight_s3,1,human_divers,0.0076291922689139,0.0014384542237208,0.0061907380451931
lowlight_s3,2,aquatic_plants,0.0193056304261508,0.0288722702905671,-0.0095666398644163
lowlight_s3,3,wrecks_ruins,0.018293019047569,0.0378140372847835,-0.019521018237214496
lowlight_s3,4,robots_instruments,0.0021385606846159,0.0021792879616085,-4.072727699260025e-05
lowlight_s3,5,reefs_invertebrates,0.0781854060371307,0.0967953958331722,-0.018609989796041504
lowlight_s3,6,fish_vertebrates,0.0104972340067928,0.0178189216399067,-0.0073216876331138984
lowlight_s3,7,seafloor_rocks,0.0323199144814365,0.0633162164049253,-0.030996301923488796
turbidity_s1,0,background_waterbody,0.0175733150554788,0.0263891170277824,-0.0088158019723036
turbidity_s1,1,human_divers,0.0055476129135867,0.0011658399532613,0.0043817729603254
turbidity_s1,2,aquatic_plants,0.0073998424336651,0.0215047752396348,-0.014104932805969698
turbidity_s1,3,wrecks_ruins,0.0085506773955216,0.0159129059035615,-0.007362228508039902
turbidity_s1,4,robots_instruments,0.0021682381902432,0.0011997731567127,0.0009684650335304999
turbidity_s1,5,reefs_invertebrates,0.0187174346459401,0.0562807382301046,-0.0375633035841645
turbidity_s1,6,fish_vertebrates,0.0186052175066276,0.0130664185087069,0.005538798997920702
turbidity_s1,7,seafloor_rocks,0.0177115140462804,0.046538583145137,-0.0288270690988566
turbidity_s2,0,background_waterbody,0.0136228434119906,0.0270189729210619,-0.013396129509071299
turbidity_s2,1,human_divers,0.0056377562175222,0.001404400175545,0.0042333560419772
turbidity_s2,2,aquatic_plants,0.0084998469488374,0.0218282710413343,-0.013328424092496901
turbidity_s2,3,wrecks_ruins,0.0081890850989295,0.0180256591497301,-0.009836574050800599
turbidity_s2,4,robots_instruments,0.0019960935115875,0.0011574897573135,0.0008386037542739999
turbidity_s2,5,reefs_invertebrates,0.0210933724111385,0.0570152793880523,-0.0359219069769138
turbidity_s2,6,fish_vertebrates,0.0194641210377752,0.012436747609914,0.007027373427861201
turbidity_s2,7,seafloor_rocks,0.017859653212937,0.0481316542757763,-0.0302720010628393
turbidity_s3,0,background_waterbody,0.0150850245352023,0.0300816768756252,-0.0149966523404229
turbidity_s3,1,human_divers,0.0056257331327289,0.0017017275486483,0.003924005584080599
turbidity_s3,2,aquatic_plants,0.010408984546388,0.0225146691386511,-0.012105684592263098
turbidity_s3,3,wrecks_ruins,0.0072408596249262,0.0189680642193552,-0.011727204594429
turbidity_s3,4,robots_instruments,0.0017468554254803,0.0013970979768394,0.00034975744864089984
turbidity_s3,5,reefs_invertebrates,0.0256013681952978,0.0617818889793581,-0.0361805207840603
turbidity_s3,6,fish_vertebrates,0.0197871520015182,0.0122680871337588,0.0075190648677594014
turbidity_s3,7,seafloor_rocks,0.0173569914542862,0.0519769925106642,-0.034620001056378
