method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
clean_global,clean_global,turbidity_s3,turbidity,3,calibration,2.197198903975547,0.6342576092390269,0.8137660382182268,0.7309724114638463,0.751869387617063,0.6118674579457787,0.28481838692268824,0.022336020020820874,0.7658625208141125,0.08213293449485684,0.8261048197746277,0.8584395051002502,0.684815526008606
pooled,pooled,turbidity_s3,turbidity,3,calibration,2.28497280189414,0.6342576092390269,0.8137660382182268,0.7309724114638463,0.751869387617063,0.6102906358477913,0.28487821891790477,0.02037041441802087,0.764994681047699,0.08238663025873605,0.8158557415008545,0.848310112953186,0.6740433573722839
per_degradation,per_degradation,turbidity_s3,turbidity,3,calibration,2.2493760364147004,0.6342576092390269,0.8137660382182268,0.7309724114638463,0.751869387617063,0.6107380792974881,0.284820183771386,0.02025852293145098,0.7653487005297397,0.08228331594589156,0.8200417160987854,0.8524563908576965,0.6784029006958008
raw,none,lowlight_s1,lowlight,1,calibration,1.0,0.651892305253799,0.8330351250356736,0.7561438216823217,0.7661362314912091,0.8243166346165325,0.27575536632465264,0.10258909896065772,0.7780889047200796,0.06849798227688796,0.9356241822242737,0.9570528864860535,0.8287098407745361
clean_global,clean_global,lowlight_s1,lowlight,1,calibration,2.197198903975547,0.651892305253799,0.8330351250356736,0.7561438216823217,0.7661362314912091,0.5573330277540186,0.2591528253831094,0.027804801353145593,0.7725602444634148,0.06985345518247361,0.8272079825401306,0.8577521443367004,0.6748147010803223
pooled,pooled,lowlight_s1,lowlight,1,calibration,2.28497280189414,0.651892305253799,0.8330351250356736,0.7561438216823217,0.7661362314912091,0.55793187498502,0.2597019425628755,0.029130556111042788,0.7719409238879822,0.07000244096292582,0.8168662786483765,0.8475209474563599,0.6639220714569092
per_degradation,per_degradation,lowlight_s1,lowlight,1,calibration,2.328063259646498,0.651892305253799,0.8330351250356736,0.7561438216823217,0.7661362314912091,0.5587381275095714,0.2600739125610305,0.0299873026916766,0.7716313381508126,0.07007684379891918,0.8116995692253113,0.8423840999603271,0.6586055159568787
raw,none,lowlight_s2,lowlight,2,calibration,1.0,0.6359091990248222,0.820517854966348,0.7467559290932964,0.7561118340912867,0.8747408426334143,0.29453420729760527,0.11250435670236109,0.7865889006688541,0.07238210554507468,0.9330103397369385,0.956266462802887,0.8266933560371399
clean_global,clean_global,lowlight_s2,lowlight,2,calibration,2.197198903975547,0.6359091990248222,0.820517854966348,0.7467559290932964,0.7561118340912867,0.5893923989532563,0.2726015387786215,0.01652875888297266,0.7813322919500092,0.07362682043935302,0.8192644119262695,0.8529858589172363,0.6651037335395813
pooled,pooled,lowlight_s2,lowlight,2,calibration,2.28497280189414,0.6359091990248222,0.820517854966348,0.7467559290932964,0.7561118340912867,0.5896004070067151,0.2730390241701309,0.021300368795486097,0.7806677369073712,0.07378308004999688,0.808697521686554,0.8425310254096985,0.654024600982666
