condition,method,region,boundary_radius,region_pixel_fraction,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_confidence,mean_wrong_confidence
lowlight_s2,raw,boundary,3,0.09294408112667156,7003338,0.4245144244073326,1.5912201500154284,0.6419554798090121,0.22614343434120876,0.5870259012063899,0.3782690644180349,0.10653498265031705,0.27173408176771785,0.801628589630127,0.770338237285614
lowlight_s2,raw,interior,3,0.9070559188733285,68346678,0.19479654885347902,0.9465843202265807,0.3214982239780092,0.11791539408138342,0.764285367221079,0.08653616816341268,0.02034092824984012,0.06619523991357257,0.9231185913085938,0.8272448778152466
lowlight_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.4245144244073326,1.0917786501527023,0.5719348021469816,0.056393488777381984,0.5900511649227281,0.37670869770654547,0.10653498265031705,0.27017371505622845,0.6108644008636475,0.5861837863922119
lowlight_s2,clean_global,interior,3,0.9070559188733285,68346678,0.19479654885347902,0.6272225856207672,0.2980475847661169,0.024045464884013164,0.7632920400380584,0.08686425193144845,0.02034092824984012,0.06652332368160833,0.7887117862701416,0.6528761386871338
lowlight_s3,raw,boundary,3,0.09294408112667156,7003338,0.4464645287718514,1.8013431801422763,0.6884223202296533,0.2593788322430526,0.5741077917671087,0.40722412207715514,0.11908735303241538,0.2881367690447397,0.812913715839386,0.7872496247291565
lowlight_s3,raw,interior,3,0.9070559188733285,68346678,0.21623405017578176,1.0895482211087677,0.35618458758750865,0.13658688907884,0.7539642701599872,0.10323096221222666,0.02527352340670582,0.07795743880552083,0.9203528761863708,0.8302172422409058
lowlight_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.4464645287718514,1.1697429126274321,0.6012757434662317,0.07305932734735499,0.5779326069624484,0.4053424423850682,0.11908735303241538,0.28625508935265287,0.6222580075263977,0.6009072065353394
lowlight_s3,clean_global,interior,3,0.9070559188733285,68346678,0.21623405017578176,0.6943677333200087,0.3258117209053489,0.015122876315288882,0.7558816064817693,0.10255927716604972,0.02527352340670582,0.0772857537593439,0.7826911211013794,0.655086874961853
blur_s1,raw,boundary,3,0.09294408112667156,7003338,0.42052375595751623,1.6369358484839658,0.6440491238784991,0.22905938491279892,0.5800598767292079,0.3793975392948383,0.10434377890142242,0.2750537603934159,0.8085348606109619,0.7792254686355591
blur_s1,raw,interior,3,0.9070559188733285,68346678,0.18946683846140994,0.9666624108819158,0.31615648955260856,0.12190456292340003,0.7624063582626083,0.08514284230222197,0.01920379171645774,0.06593905058576423,0.9324324727058411,0.8398717641830444
blur_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.42052375595751623,1.0961094889791303,0.5732984445740821,0.061754579967293034,0.5831856268319424,0.37802523774213964,0.10434377890142242,0.2736814588407172,0.6218088865280151,0.5988759398460388
blur_s1,clean_global,interior,3,0.9070559188733285,68346678,0.18946683846140994,0.614254489511363,0.29064885304758337,0.019205731317181667,0.7606752724681564,0.08579072092285092,0.01920379171645774,0.06658692920639318,0.8067699670791626,0.6743112802505493
blur_s2,raw,boundary,3,0.09294408112667156,7003338,0.4396771939323791,1.9282765238385253,0.6964244274982248,0.26687333076549247,0.5526440096466464,0.4181161476247621,0.11511456675116088,0.30300158087360124,0.8271961212158203,0.8065052032470703
blur_s2,raw,interior,3,0.9070559188733285,68346678,0.21326062109412253,1.212650877612424,0.3658563070313015,0.1528165701426501,0.7333262344592273,0.10874989622000346,0.02455469590043492,0.08419520031956854,0.9395559430122375,0.8663952350616455
blur_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.4396771939323791,1.191639445439714,0.6111580138754013,0.09146544680186007,0.5563073558239688,0.4171044627398719,0.11511456675116088,0.301989895988711,0.6470798850059509,0.6314660310745239
blur_s2,clean_global,interior,3,0.9070559188733285,68346678,0.21326062109412253,0.7044253050601815,0.3300480046054689,0.03552169677870674,0.7281486883706004,0.11079319877552149,0.02455469590043492,0.08623850287508657,0.8196911215782166,0.7113144397735596
blur_s3,raw,boundary,3,0.09294408112667156,7003338,0.46188274791249545,2.125069798747219,0.7411539166997044,0.29544415319754525,0.54481277742883,0.4429037849909959,0.12842289386640104,0.3144808911245949,0.833561360836029,0.8160510659217834
blur_s3,raw,interior,3,0.9070559188733285,68346678,0.23540791550980722,1.3471527210464787,0.4044559150542218,0.17099080858956245,0.7339143217516586,0.120680781537988,0.030181605410681177,0.09049917612730682,0.9355829358100891,0.8668503761291504
blur_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.46188274791249545,1.2681544481114755,0.6428596085181095,0.11720832087940947,0.550121385070838,0.44129343693069134,0.12842289386640104,0.3128705430642903,0.6547800302505493,0.6405832767486572
blur_s3,clean_global,interior,3,0.9070559188733285,68346678,0.23540791550980722,0.7689122937785652,0.3598685323539061,0.04900896384499132,0.731290792080301,0.1218626196369854,0.030181605410681177,0.09168101422630423,0.8132207989692688,0.7074115872383118
