condition,method,reference,metric,delta_candidate_minus_clean_global
color_s1,per_degradation,clean_global,ece,-0.0002961203935322003
color_s1,per_degradation,clean_global,brier_score,-5.2678802786393364e-05
color_s1,per_degradation,clean_global,aurc,-8.969573657195695e-06
color_s1,per_degradation,clean_global,error_auroc,3.9898026326756764e-05
color_s1,per_degradation,clean_global,mean_wrong_confidence,0.000865638256072998
color_s2,per_degradation,clean_global,nll,-0.00012128465614730244
color_s2,per_degradation,clean_global,ece,-0.00032859106967380106
color_s2,per_degradation,clean_global,brier_score,-5.582333336859313e-05
color_s2,per_degradation,clean_global,aurc,-9.471796389597109e-06
color_s2,per_degradation,clean_global,error_auroc,3.919474523850219e-05
color_s2,per_degradation,clean_global,mean_wrong_confidence,0.000858008861541748
color_s3,per_degradation,clean_global,nll,-0.0001456733889412254
color_s3,per_degradation,clean_global,ece,-0.0003756088189160976
color_s3,per_degradation,clean_global,brier_score,-6.609529120732427e-05
color_s3,per_degradation,clean_global,aurc,-1.0934641046900229e-05
color_s3,per_degradation,clean_global,error_auroc,4.396736998979467e-05
color_s3,per_degradation,clean_global,mean_wrong_confidence,0.0008565783500671387
turbidity_s1,per_degradation,clean_global,nll,0.0006656534232687417
turbidity_s1,per_degradation,clean_global,ece,0.002429987428809701
turbidity_s1,per_degradation,clean_global,brier_score,0.00044969554361151687
turbidity_s1,per_degradation,clean_global,aurc,7.137132757419756e-05
turbidity_s1,per_degradation,clean_global,error_auroc,-0.0003366669553913626
turbidity_s1,per_degradation,clean_global,mean_wrong_confidence,-0.006535887718200684
turbidity_s2,per_degradation,clean_global,nll,0.0008953303506930022
turbidity_s2,per_degradation,clean_global,ece,0.002620851089787799
turbidity_s2,per_degradation,clean_global,brier_score,0.0004371333884322093
turbidity_s2,per_degradation,clean_global,aurc,8.16000873982009e-05
turbidity_s2,per_degradation,clean_global,error_auroc,-0.00033227143251179925
turbidity_s2,per_degradation,clean_global,mean_wrong_confidence,-0.006546139717102051
turbidity_s3,per_degradation,clean_global,nll,0.000751313553553179
turbidity_s3,per_degradation,clean_global,ece,0.0007829868252757013
turbidity_s3,per_degradation,clean_global,brier_score,0.00032693519621310174
turbidity_s3,per_degradation,clean_global,aurc,8.8425497761703e-05
turbidity_s3,per_degradation,clean_global,error_auroc,-0.00024272563404081904
turbidity_s3,per_degradation,clean_global,mean_wrong_confidence,-0.006565511226654053
lowlight_s1,per_degradation,clean_global,nll,0.0030657994692727675
lowlight_s1,per_degradation,clean_global,ece,0.0113733696169405
lowlight_s1,per_degradation,clean_global,brier_score,0.0012696455239886162
lowlight_s1,per_degradation,clean_global,aurc,0.00015846837929730379
lowlight_s1,per_degradation,clean_global,error_auroc,-0.0007290792239458277
lowlight_s1,per_degradation,clean_global,mean_wrong_confidence,-0.016429245471954346
lowlight_s2,per_degradation,clean_global,nll,0.003170333496511857
lowlight_s2,per_degradation,clean_global,ece,0.0091418131335252
lowlight_s2,per_degradation,clean_global,brier_score,0.0010519632828653314
lowlight_s2,per_degradation,clean_global,aurc,0.00020962548377469192
lowlight_s2,per_degradation,clean_global,error_auroc,-0.0007355768326753331
lowlight_s2,per_degradation,clean_global,mean_wrong_confidence,-0.01649707555770874
lowlight_s3,per_degradation,clean_global,nll,-0.006466874248905241
lowlight_s3,per_degradation,clean_global,ece,-0.008557953384098795
lowlight_s3,per_degradation,clean_global,brier_score,-0.0009225681310737199
