condition,method,region,boundary_radius,region_pixel_fraction,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_confidence,mean_wrong_confidence
color_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.4725987807528353,1.1893854996025646,0.6175767496513805,0.0864554814983043,0.5758637556399242,0.42354943189062455,0.13517080686174163,0.2883786250288829,0.607488214969635,0.5864216685295105
color_s2,clean_global,interior,3,0.9070559188733285,68346678,0.2249182615722742,0.6904364273518532,0.332866926017604,0.029552056579193978,0.7648299174526204,0.10049986072031553,0.027437676356244646,0.07306218436407089,0.7576211094856262,0.6201908588409424
color_s3,raw,boundary,3,0.09294408112667156,7003338,0.47600972564796956,1.5961881345121605,0.7002348976971767,0.24474319638615105,0.5718044341673673,0.4293682752235632,0.13736416182005767,0.2920041134035055,0.7687334418296814,0.7459686994552612
color_s3,raw,interior,3,0.9070559188733285,68346678,0.22954782089043158,0.9091010176593733,0.359525098164793,0.1129781753394216,0.7595767959373733,0.1050283401674995,0.02863108067430096,0.07639725949319853,0.8834303021430969,0.7764840126037598
color_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.47600972564796956,1.2021786415679565,0.6239843687976006,0.09063954480201306,0.5732261103559447,0.42902067077201844,0.13736416182005767,0.29165650895196077,0.6103473901748657,0.5900737047195435
color_s3,clean_global,interior,3,0.9070559188733285,68346678,0.22954782089043158,0.7064370838687654,0.3406213678053599,0.026732923547308548,0.7591479919758828,0.10477131826482941,0.02863108067430096,0.07614023759052846,0.7594081163406372,0.626638650894165
turbidity_s1,raw,boundary,3,0.09294408112667156,7003338,0.46712224941877717,1.5451208819436353,0.6785297712397556,0.2274658538385235,0.574469854499009,0.41866705787316605,0.13169529287663712,0.28697176499652893,0.760343611240387,0.7365965247154236
turbidity_s1,raw,interior,3,0.9070559188733285,68346678,0.21799602315711672,0.8671197451295658,0.3372856425740436,0.09982484208031252,0.7687089838821282,0.09560380213816147,0.02570480104470786,0.06989900109345361,0.8818288445472717,0.7652966976165771
turbidity_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.46712224941877717,1.1750328066773301,0.6102287283567047,0.08123971256675683,0.575114874496826,0.418393283843458,0.13169529287663712,0.28669799096682086,0.6069688200950623,0.5864660143852234
turbidity_s1,clean_global,interior,3,0.9070559188733285,68346678,0.2179960085258277,0.6810369350998303,0.3242419293338771,0.03304886076289512,0.7690389491723261,0.09539417148450927,0.025704797446940555,0.06968937403756871,0.7624791860580444,0.621453046798706
turbidity_s2,raw,boundary,3,0.09294408112667156,7003338,0.46757203493534083,1.568435123477012,0.6817020261054889,0.2309681566423767,0.5741948097804468,0.4194406358647814,0.13197860620456395,0.2874620296602175,0.7633960843086243,0.7398262023925781
turbidity_s2,raw,interior,3,0.9070559188733285,68346678,0.21974910031472195,0.8880043066065333,0.3427200923631577,0.1052823702830705,0.7664250220300786,0.0966125041504942,0.02613784121897459,0.0704746629315196,0.8855332732200623,0.7741214632987976
turbidity_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.46757203493534083,1.1826940361778198,0.6122466508615695,0.08419036161425625,0.5746013753544588,0.41940457818573684,0.13197860620456395,0.2874259719811729,0.6104949712753296,0.5902159810066223
turbidity_s2,clean_global,interior,3,0.9070559188733285,68346678,0.21974910031472195,0.687238388094188,0.32696654963061994,0.02897943258915778,0.7660734908601546,0.0969924898799303,0.02613784121897459,0.0708546486609557,0.7672154307365417,0.6300069093704224
turbidity_s3,raw,boundary,3,0.09294408112667156,7003338,0.47146960492268114,1.593449671952414,0.6871262198134126,0.23312783091962008,0.5702437048189524,0.42673750550869993,0.13444957521850698,0.29228793029019295,0.761658251285553,0.7395144701004028
turbidity_s3,raw,interior,3,0.9070559188733285,68346678,0.22641940256408657,0.9336145795831511,0.35500452571831653,0.10987235188203112,0.756867653742345,0.10371372109282087,0.027821601853431098,0.07589211923938977,0.8834528923034668,0.778655469417572
turbidity_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.47146960492268114,1.1954914470339002,0.6169508115273031,0.08567451558242833,0.5704307168656514,0.42700375150211983,0.13444957521850698,0.29255417628361285,0.6093350648880005,0.5906938910484314
turbidity_s3,clean_global,interior,3,0.9070559188733285,68346678,0.22641940256408657,0.7131748458480308,0.3379516119276492,0.02740097608415988,0.7554432263659419,0.1044208547634983,0.027821601853431098,0.0765992529100672,0.763912558555603,0.6361326575279236
lowlight_s1,raw,boundary,3,0.09294408112667156,7003338,0.47050849180776366,1.561881466269192,0.6842048436402756,0.23186977258689848,0.5752772351466782,0.42202903111120044,0.13383759001566692,0.2881914410955335,0.761361300945282,0.737346351146698
lowlight_s1,raw,interior,3,0.9070559188733285,68346678,0.22254963145392379,0.8836500971744377,0.3441857068134497,0.10232373664049971,0.7655815448076634,0.09978986031072473,0.026837796256188807,0.07295206405453593,0.8797740936279297,0.7646166682243347
lowlight_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.47050849180776366,1.183437537102843,0.6142829121382011,0.0828447586677185,0.5770348769007979,0.42126491750250517,0.13383759001566692,0.28742732748683825,0.6074618697166443,0.5864073038101196
lowlight_s1,clean_global,interior,3,0.9070559188733285,68346678,0.22254963145392379,0.6922923138908814,0.33039612903717136,0.03290394653922693,0.766133306671156,0.09925848937152763,0.026837796256188807,0.07242069311533883,0.7589220404624939,0.6194502711296082
