method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
pooled,blur_s1,calibration,2,aquatic_plants,0.0724534126912919,0.1351171283225667,0.0888274553251944,0.0051661766685229
pooled,blur_s1,calibration,3,wrecks_ruins,0.3046285437372432,0.4669965948538935,0.44829885353054,0.0070638724935648
pooled,blur_s1,calibration,4,robots_instruments,0.3437537434495977,0.5116320533063377,0.5100375957969827,0.0035387741812555
pooled,blur_s1,calibration,5,reefs_invertebrates,0.4952762356419081,0.6624545001603541,0.6326523985555856,0.0297287026893886
pooled,blur_s1,calibration,6,fish_vertebrates,0.5734217768135983,0.7288850138770273,0.6977265561161483,0.0143679669468992
pooled,blur_s1,calibration,7,seafloor_rocks,0.2334456496105407,0.3785260415556226,0.3485183830532241,0.0254470152272882
per_degradation,blur_s1,calibration,0,background_waterbody,0.7261088082198731,0.8413244921317623,0.8797568110597586,0.050332334342295
per_degradation,blur_s1,calibration,1,human_divers,0.6570088285768655,0.793005827423554,0.8016957005682515,0.0072684115826418
per_degradation,blur_s1,calibration,2,aquatic_plants,0.0724534126912919,0.1351171283225667,0.0888274553251944,0.0096012580988765
per_degradation,blur_s1,calibration,3,wrecks_ruins,0.3046285437372432,0.4669965948538935,0.44829885353054,0.0102772323081238
per_degradation,blur_s1,calibration,4,robots_instruments,0.3437537434495977,0.5116320533063377,0.5100375957969827,0.0053708718790798
per_degradation,blur_s1,calibration,5,reefs_invertebrates,0.4952762356419081,0.6624545001603541,0.6326523985555856,0.0292604234748616
per_degradation,blur_s1,calibration,6,fish_vertebrates,0.5734217768135983,0.7288850138770273,0.6977265561161483,0.0221656642295198
per_degradation,blur_s1,calibration,7,seafloor_rocks,0.2334456496105407,0.3785260415556226,0.3485183830532241,0.0268414198987338
raw,blur_s2,calibration,0,background_waterbody,0.7088517523344932,0.829623460743295,0.8793826270456918,0.1080017299832806
raw,blur_s2,calibration,1,human_divers,0.6471282229902919,0.7857654479569999,0.7717812844505749,0.0023574299963538
raw,blur_s2,calibration,2,aquatic_plants,0.0475963859536929,0.090867793344596,0.0549403364061895,0.0177041440888315
raw,blur_s2,calibration,3,wrecks_ruins,0.2545091127216552,0.4057509190499193,0.328453094698722,0.0057079281416385
raw,blur_s2,calibration,4,robots_instruments,0.3266889694266332,0.4924876545371764,0.487157781847978,0.0032922396195474
raw,blur_s2,calibration,5,reefs_invertebrates,0.4605566036553337,0.6306590275278604,0.5955962592850108,0.1069372529947245
raw,blur_s2,calibration,6,fish_vertebrates,0.4990765289978959,0.665845297880181,0.5837349300607175,0.0213766111063517
raw,blur_s2,calibration,7,seafloor_rocks,0.2179016137155344,0.3578312258750808,0.350360335806832,0.0449128286236227
clean_global,blur_s2,calibration,0,background_waterbody,0.7088517523344932,0.829623460743295,0.8793826270456918,0.0293069715049519
clean_global,blur_s2,calibration,1,human_divers,0.6471282229902919,0.7857654479569999,0.7717812844505749,0.0025971751530274
clean_global,blur_s2,calibration,2,aquatic_plants,0.0475963859536929,0.090867793344596,0.0549403364061895,0.0078291333523255
clean_global,blur_s2,calibration,3,wrecks_ruins,0.2545091127216552,0.4057509190499193,0.328453094698722,0.002107497696392
clean_global,blur_s2,calibration,4,robots_instruments,0.3266889694266332,0.4924876545371764,0.487157781847978,0.0022349347473597
clean_global,blur_s2,calibration,5,reefs_invertebrates,0.4605566036553337,0.6306590275278604,0.5955962592850108,0.0464846704393841
clean_global,blur_s2,calibration,6,fish_vertebrates,0.4990765289978959,0.665845297880181,0.5837349300607175,0.0045525091925404
clean_global,blur_s2,calibration,7,seafloor_rocks,0.2179016137155344,0.3578312258750808,0.350360335806832,0.0331349220800133
pooled,blur_s2,calibration,0,background_waterbody,0.7088517523344932,0.829623460743295,0.8793826270456918,0.0269410619048433
pooled,blur_s2,calibration,1,human_divers,0.6471282229902919,0.7857654479569999,0.7717812844505749,0.0034547685844198
pooled,blur_s2,calibration,2,aquatic_plants,0.0475963859536929,0.090867793344596,0.0549403364061895,0.0065841455361238
pooled,blur_s2,calibration,3,wrecks_ruins,0.2545091127216552,0.4057509190499193,0.328453094698722,0.00311462582669
pooled,blur_s2,calibration,4,robots_instruments,0.3266889694266332,0.4924876545371764,0.487157781847978,0.0028166481541563
pooled,blur_s2,calibration,5,reefs_invertebrates,0.4605566036553337,0.6306590275278604,0.5955962592850108,0.040201433161164
pooled,blur_s2,calibration,6,fish_vertebrates,0.4990765289978959,0.665845297880181,0.5837349300607175,0.0066268025687227
pooled,blur_s2,calibration,7,seafloor_rocks,0.2179016137155344,0.3578312258750808,0.350360335806832,0.032103299084764
per_degradation,blur_s2,calibration,0,background_waterbody,0.7088517523344932,0.829623460743295,0.8793826270456918,0.0315237127489038
per_degradation,blur_s2,calibration,1,human_divers,0.6471282229902919,0.7857654479569999,0.7717812844505749,0.0056833778997559
per_degradation,blur_s2,calibration,2,aquatic_plants,0.0475963859536929,0.090867793344596,0.0549403364061895,0.0038641460919135
per_degradation,blur_s2,calibration,3,wrecks_ruins,0.2545091127216552,0.4057509190499193,0.328453094698722,0.0056637640646145
per_degradation,blur_s2,calibration,4,robots_instruments,0.3266889694266332,0.4924876545371764,0.487157781847978,0.0044132378822085
per_degradation,blur_s2,calibration,5,reefs_invertebrates,0.4605566036553337,0.6306590275278604,0.5955962592850108,0.0308054069676682
per_degradation,blur_s2,calibration,6,fish_vertebrates,0.4990765289978959,0.665845297880181,0.5837349300607175,0.0135608804627444
per_degradation,blur_s2,calibration,7,seafloor_rocks,0.2179016137155344,0.3578312258750808,0.350360335806832,0.0305813523994623
raw,blur_s3,calibration,0,background_waterbody,0.6742719528974678,0.8054509325448398,0.8590569411005847,0.1346129223171193
raw,blur_s3,calibration,1,human_divers,0.6020814819565198,0.751624045015783,0.6999984022921781,0.0029532373974611
raw,blur_s3,calibration,2,aquatic_plants,0.0254598959486514,0.0496555663448906,0.0288020631782062,0.0195144030332213
raw,blur_s3,calibration,3,wrecks_ruins,0.2162386497373532,0.3555858873323093,0.2396570533256098,0.0061574743134761
raw,blur_s3,calibration,4,robots_instruments,0.2868480515058656,0.4458149525426827,0.418759338699571,0.003048332105681
raw,blur_s3,calibration,5,reefs_invertebrates,0.4095813329990145,0.5811389856129726,0.5617171586388576,0.1285795012009135
raw,blur_s3,calibration,6,fish_vertebrates,0.3817439584931157,0.5525538304642679,0.4384788368046761,0.030199955773086
raw,blur_s3,calibration,7,seafloor_rocks,0.2057053157531886,0.3412198869251682,0.3264162164790941,0.0488156532675629
clean_global,blur_s3,calibration,0,background_waterbody,0.6742719528974678,0.8054509325448398,0.8590569411005847,0.0485040928730823
clean_global,blur_s3,calibration,1,human_divers,0.6020814819565198,0.751624045015783,0.6999984022921781,0.0030665321362877
clean_global,blur_s3,calibration,2,aquatic_plants,0.0254598959486514,0.0496555663448906,0.0288020631782062,0.0121809188657888
clean_global,blur_s3,calibration,3,wrecks_ruins,0.2162386497373532,0.3555858873323093,0.2396570533256098,0.0015823982996241
clean_global,blur_s3,calibration,4,robots_instruments,0.2868480515058656,0.4458149525426827,0.418759338699571,0.0015067307497935
clean_global,blur_s3,calibration,5,reefs_invertebrates,0.4095813329990145,0.5811389856129726,0.5617171586388576,0.0626460294583443
clean_global,blur_s3,calibration,6,fish_vertebrates,0.3817439584931157,0.5525538304642679,0.4384788368046761,0.0125473881412646
clean_global,blur_s3,calibration,7,seafloor_rocks,0.2057053157531886,0.3412198869251682,0.3264162164790941,0.0379329107187564
pooled,blur_s3,calibration,0,background_waterbody,0.6742719528974678,0.8054509325448398,0.8590569411005847,0.0419422061806714
pooled,blur_s3,calibration,1,human_divers,0.6020814819565198,0.751624045015783,0.6999984022921781,0.0038413123691864
pooled,blur_s3,calibration,2,aquatic_plants,0.0254598959486514,0.0496555663448906,0.0288020631782062,0.010751973281964
pooled,blur_s3,calibration,3,wrecks_ruins,0.2162386497373532,0.3555858873323093,0.2396570533256098,0.0015886977606019
pooled,blur_s3,calibration,4,robots_instruments,0.2868480515058656,0.4458149525426827,0.418759338699571,0.0020326767077451
pooled,blur_s3,calibration,5,reefs_invertebrates,0.4095813329990145,0.5811389856129726,0.5617171586388576,0.0553718956059522
pooled,blur_s3,calibration,6,fish_vertebrates,0.3817439584931157,0.5525538304642679,0.4384788368046761,0.010572979084951
pooled,blur_s3,calibration,7,seafloor_rocks,0.2057053157531886,0.3412198869251682,0.3264162164790941,0.0370519151103836
per_degradation,blur_s3,calibration,0,background_waterbody,0.6742719528974678,0.8054509325448398,0.8590569411005847,0.033793641755237
per_degradation,blur_s3,calibration,1,human_divers,0.6020814819565198,0.751624045015783,0.6999984022921781,0.0056630608298587
per_degradation,blur_s3,calibration,2,aquatic_plants,0.0254598959486514,0.0496555663448906,0.0288020631782062,0.0072735430784321
per_degradation,blur_s3,calibration,3,wrecks_ruins,0.2162386497373532,0.3555858873323093,0.2396570533256098,0.0037126155380129
per_degradation,blur_s3,calibration,4,robots_instruments,0.2868480515058656,0.4458149525426827,0.418759338699571,0.0034383109838875
per_degradation,blur_s3,calibration,5,reefs_invertebrates,0.4095813329990145,0.5811389856129726,0.5617171586388576,0.0410154513611723
per_degradation,blur_s3,calibration,6,fish_vertebrates,0.3817439584931157,0.5525538304642679,0.4384788368046761,0.006002226213721
per_degradation,blur_s3,calibration,7,seafloor_rocks,0.2057053157531886,0.3412198869251682,0.3264162164790941,0.0358640791191099
raw,clean,confirmation,0,background_waterbody,0.720033967504675,0.8372322653014327,0.8685031648076741,0.0799784096665442
raw,clean,confirmation,1,human_divers,0.6363169405702638,0.7777428990602572,0.8020124166036295,0.001769479291869
raw,clean,confirmation,2,aquatic_plants,0.0624053623912789,0.1174793814120364,0.0804647290297197,0.0203849217601098
raw,clean,confirmation,3,wrecks_ruins,0.4536012931136555,0.6241068926707248,0.7228225243019916,0.0068934431275883
raw,clean,confirmation,4,robots_instruments,0.5879510850017984,0.74051536039743,0.8061401730382515,0.0008876292167553
raw,clean,confirmation,5,reefs_invertebrates,0.5436215871569382,0.7043456656474821,0.6980855681510387,0.0734686664640858
raw,clean,confirmation,6,fish_vertebrates,0.5881426397662632,0.7406672738826833,0.7217420898180701,0.0115609481135188
raw,clean,confirmation,7,seafloor_rocks,0.1463211084353698,0.2552881690106633,0.1929494898667631,0.0385486293072296
clean_global,clean,confirmation,0,background_waterbody,0.720033967504675,0.8372322653014327,0.8685031648076741,0.0279883387282541
clean_global,clean,confirmation,1,human_divers,0.6363169405702638,0.7777428990602572,0.8020124166036295,0.004339980629622
clean_global,clean,confirmation,2,aquatic_plants,0.0624053623912789,0.1174793814120364,0.0804647290297197,0.0109999021322628
clean_global,clean,confirmation,3,wrecks_ruins,0.4536012931136555,0.6241068926707248,0.7228225243019916,0.0107517209009637
clean_global,clean,confirmation,4,robots_instruments,0.5879510850017984,0.74051536039743,0.8061401730382515,0.0039619596050455
clean_global,clean,confirmation,5,reefs_invertebrates,0.5436215871569382,0.7043456656474821,0.6980855681510387,0.0223604411398027
clean_global,clean,confirmation,6,fish_vertebrates,0.5881426397662632,0.7406672738826833,0.7217420898180701,0.0171715060679781
clean_global,clean,confirmation,7,seafloor_rocks,0.1463211084353698,0.2552881690106633,0.1929494898667631,0.0205383969866135
pooled,clean,confirmation,0,background_waterbody,0.720033967504675,0.8372322653014327,0.8685031648076741,0.0330255413730174
pooled,clean,confirmation,1,human_divers,0.6363169405702638,0.7777428990602572,0.8020124166036295,0.0054433982338007
