split,condition,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall,peak_process_rss_mb
confirmation,color_s1,color_attenuation,1,3,raw_msp,boundary,7003338.0,0.4185449852627418,0.5901927532337506,0.5083358764117165,0.3692249917285901,0.1032674757100678,0.2659575160185223,3928477.0,1545790.0,1359.0,0.6597783799668101,float32,6.796888999990188,0.5938532999716699,0.4009149604038073,0.3863077093050797,0.3726936765057155,0.6085210770860761,0.0726948443169583,0.577214586183164,0.137909847530646,0.547494124232152,0.2616178904835269,6016.81640625
confirmation,color_s1,color_attenuation,1,3,raw_msp,interior,68346678.0,0.1897317086867045,0.7647831792881672,0.4237256367059531,0.0838651084784723,0.0192594744394271,0.0646056340390452,6783743.0,5077826.0,431009.0,0.9750402353132656,float32,6.796888999990188,0.9614371000789106,0.1551431735827983,0.1263829281954266,0.1027043343815765,0.548008574325288,0.1444167119335687,0.501028550326073,0.2640721303020498,0.4431268539410296,0.4671089191947131,6016.81640625
confirmation,color_s1,color_attenuation,1,3,calibrated_msp,full,75350016.0,0.2109985484276473,0.7592877703933746,0.4414000396279556,0.096319013359626,0.0240153680252041,0.0723036453344219,9107204.0,8211501.0,88.0,0.9881127696110908,float32,7.940761799924076,1.4231838999548927,0.1767852383168431,0.147483113515586,0.1209184644254675,0.560566805423542,0.1328366567824477,0.518918375867717,0.2459345845181229,0.4650602915928526,0.4408184982754269,6016.81640625
confirmation,color_s1,color_attenuation,1,3,calibrated_msp,boundary,7003338.0,0.4185449852627418,0.5924766607585562,0.5108844363622398,0.3678856959370467,0.1032674757100678,0.2646182202269789,4573420.0,1664567.0,13.0,0.584647635170543,float32,7.940761799924076,0.6824245000025257,0.3995317312932482,0.3856139330687095,0.3723711772568879,0.6169456287999726,0.07370125395229,0.5896643601481579,0.1408843850257163,0.5502692286823144,0.2629439631115047,6016.81640625
confirmation,color_s1,color_attenuation,1,3,calibrated_msp,interior,68346678.0,0.1897317086867045,0.7631444099310701,0.4229680216369955,0.0843833463416966,0.0192594744394271,0.0651238719022695,8843478.0,7784223.0,88.0,0.9845017339394316,float32,7.940761799924076,1.3130860000383109,0.1550903448758974,0.1265213088353616,0.1031616396867441,0.5441358673164519,0.1433961373683134,0.501503986733518,0.2643227138363722,0.4425732895877312,0.4665253958887473,6016.81640625
confirmation,color_s1,color_attenuation,1,3,entropy,full,75350016.0,0.2109985484276473,0.7420168747389017,0.404019628908995,0.1004912896035748,0.0240153680252041,0.0764759215783707,27350227.0,17620908.0,23.0,0.8708783419501862,float32,7.193338099983521,4.948337999987416,0.1834712032431165,0.1590689802936837,0.1322859875356555,0.5024155268970067,0.1190566374299756,0.4587446957545597,0.2174160550040933,0.4187168231673992,0.3968907355197366,6016.81640625
confirmation,color_s1,color_attenuation,1,3,entropy,boundary,7003338.0,0.4185449852627418,0.5655463142495615,0.4822228716190493,0.380856966815914,0.1032674757100678,0.2775894911058462,5049198.0,1426621.0,10.0,0.4827356611947045,float32,7.193338099983521,0.8309870000230148,0.4047939038601429,0.3949989210503347,0.3857669651569581,0.5668723780367653,0.067719428004525,0.5423055285049705,0.1295692703223103,0.5127289264836492,0.2450054789622859,6016.81640625
confirmation,color_s1,color_attenuation,1,3,entropy,interior,68346678.0,0.1897317086867045,0.7462150160610527,0.383291283684863,0.0880816408728923,0.0192594744394271,0.0688221664334652,26808290.0,16778563.0,22.0,0.8532521653795668,float32,7.193338099983521,4.209246500045992,0.1626085513608066,0.1380287535186192,0.1116520275395693,0.4792446392421695,0.1262953505724913,0.4338400928911251,0.2286597789001022,0.3965435482747662,0.4180045208294068,6016.81640625
confirmation,color_s1,color_attenuation,1,3,probability_margin,full,75350016.0,0.2109985484276473,0.7596079918231133,0.4347479994128171,0.0960788756117528,0.0240153680252041,0.0720635075865487,15677466.0,13427945.0,154.0,0.970145713041388,float32,7.024972999934107,2.231415700051002,0.1770834320393499,0.1474260548019457,0.1209527831750232,0.5483594430366442,0.1299438968260637,0.5162345809596334,0.2446626349855057,0.4652885294522815,0.4410348389784753,6016.81640625
confirmation,color_s1,color_attenuation,1,3,probability_margin,boundary,7003338.0,0.4185449852627418,0.5887123354848959,0.4993747213016303,0.3696631081721707,0.1032674757100678,0.2663956324621029,5205648.0,1363211.0,27.0,0.451342060029089,float32,7.024972999934107,0.7259790000971407,0.4026845925078594,0.3875524727402341,0.3733773640340651,0.5702564776235339,0.0681236976377007,0.5612888517002838,0.1341048230788719,0.5425147144076969,0.2592384992965367,6016.81640625
confirmation,color_s1,color_attenuation,1,3,probability_margin,interior,68346678.0,0.1897317086867045,0.7638894479742279,0.417668424509236,0.0840769094904944,0.0192594744394271,0.0648174350510672,15210594.0,12479116.0,127.0,0.9600349559052452,float32,7.024972999934107,2.231731899897568,0.1553297561132681,0.1263192141578642,0.1027124214939904,0.5394076200921537,0.1421501022708099,0.4993492978249516,0.2631870634031723,0.4433816682829363,0.4673775241117585,6016.81640625
confirmation,color_s1,color_attenuation,1,3,logit_margin,full,75350016.0,0.2109985484276473,0.7583383689477082,0.4312829017015674,0.096573015931065,0.0240153680252041,0.0725576479058609,9708737.0,5122816.0,442.0,0.939138420355478,float32,7.515286899986677,1.3765542999608442,0.1776618319703977,0.1482241068785476,0.1217446874407763,0.5410821766230279,0.1282194141568311,0.5110290083532824,0.2421955218600915,0.4620963158575279,0.4380090231252361,6016.81640625
confirmation,color_s1,color_attenuation,1,3,logit_margin,boundary,7003338.0,0.4185449852627418,0.5849833281109088,0.4955292976946958,0.3718627108046606,0.1032674757100678,0.2685952350945928,3122058.0,1122230.0,75.0,0.7144464539623819,float32,7.515286899986677,0.4628157999832183,0.4034232500061101,0.3888672028038055,0.3750196225654359,0.5631377314252913,0.0672732814958454,0.5546407312864463,0.1325164341251203,0.5372560806700802,0.2567256820728081,6016.81640625
confirmation,color_s1,color_attenuation,1,3,logit_margin,interior,68346678.0,0.1897317086867045,0.7628773224335288,0.4143981162429191,0.0844819902555725,0.0192594744394271,0.0652225158161454,8889470.0,4666470.0,436.0,0.9382120664299148,float32,7.515286899986677,1.4156001000665128,0.1557762239312904,0.1270848164213278,0.1033451411318451,0.5321490029807975,0.1402372387399838,0.4953310972822674,0.2610692304441585,0.4403192806967325,0.4641493998335189,6016.81640625
confirmation,color_s1,color_attenuation,1,3,energy,full,75350016.0,0.2109985484276473,0.6823291582077953,0.3258250053417547,0.120905978911172,0.0240153680252041,0.0968906108859679,11460453.0,8453102.0,46.0,0.9600882500144392,float32,7.773265999974683,1.673867700039409,0.1937023337186708,0.1736278822633963,0.1537611104417724,0.3687440864078641,0.087380721035933,0.3666644901576225,0.1737758445992127,0.3604812004916078,0.341690710494699,6016.81640625
confirmation,color_s1,color_attenuation,1,3,energy,boundary,7003338.0,0.4185449852627418,0.5483823156348328,0.4492193683205773,0.3814086017143319,0.1032674757100678,0.2781411260042641,4188586.0,1784447.0,11.0,0.6567152692044851,float32,7.773265999974683,0.6477493999991566,0.4140175995418058,0.4084289439804693,0.3999189910172774,0.4477406494615426,0.0534877722935086,0.4592908526503068,0.1097351539226777,0.4590088443514095,0.2193355513009635,6016.81640625
confirmation,color_s1,color_attenuation,1,3,energy,interior,68346678.0,0.1897317086867045,0.687652921215117,0.3026429045024235,0.1056041834675953,0.0192594744394271,0.0863447090281682,11284332.0,8251450.0,43.0,0.9556250268667044,float32,7.773265999974683,1.7372502000071108,0.1726011038722177,0.1532006029749226,0.1339872021509388,0.342528195956263,0.0902664631943842,0.3439071217504639,0.1812597030799692,0.3358561210776198,0.3540326846054181,6016.81640625
confirmation,color_s1,color_attenuation,1,3,local_disagreement,full,75350016.0,0.2109985484276473,0.52543295173728,0.2328492113301741,0.2024160259337145,0.0240153680252041,0.1784006579085104,9.0,9.0,73255256.0,1.0,float32,2.138877599965781,0.0002682999474927,0.2022994500217158,0.2022994500217158,0.2022994500217158,0.3762814089044102,0.0891668287965876,0.2892904294630631,0.1371054194334495,0.2457949397423895,0.2329826007071734,6016.81640625
