method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
clean_global,clean_global,lowlight_s2,lowlight,2,calibration,1.927998726450754,0.5694464578977043,0.7809863039710568,0.7017302574553961,0.7042674628437003,0.6922650671077827,0.32304582929683784,0.02385003010820243,0.7808314692416105,0.09648560015558713,0.7702435255050659,0.8143695592880249,0.6128934025764465
pooled,pooled,lowlight_s2,lowlight,2,calibration,1.9671212672389797,0.5694464578977043,0.7809863039710568,0.7017302574553961,0.7042674628437003,0.6921856573909022,0.323409140745073,0.027885939114113033,0.7807174004300901,0.09650720873620193,0.7649010419845581,0.8091312050819397,0.6071795225143433
per_degradation,per_degradation,lowlight_s2,lowlight,2,calibration,2.0695141636564007,0.5694464578977043,0.7809863039710568,0.7017302574553961,0.7042674628437003,0.6935360725611857,0.32473844153695997,0.0393289463096524,0.7803875189352316,0.0965728604158779,0.7509288787841797,0.7953370809555054,0.5925724506378174
raw,none,lowlight_s3,lowlight,3,calibration,1.0,0.36126551114658373,0.64066903449629,0.4904868553960583,0.5108491517148579,1.4613115624205706,0.556152004085175,0.19904433834143642,0.7237071716471313,0.20078963138118694,0.8397133350372314,0.8859999775886536,0.757186770439148
clean_global,clean_global,lowlight_s3,lowlight,3,calibration,1.927998726450754,0.36126551114658373,0.64066903449629,0.4904868553960583,0.5108491517148579,1.079096563330524,0.5007499443704497,0.04511152461015837,0.7298635618407375,0.19744822937790288,0.6856343746185303,0.7430689334869385,0.5832314491271973
pooled,pooled,lowlight_s3,lowlight,3,calibration,1.9671212672389797,0.36126551114658373,0.64066903449629,0.4904868553960583,0.5108491517148579,1.0757892599933223,0.5000432114622909,0.03894145163556602,0.7299881452067167,0.19736985699417664,0.6794377565383911,0.7368733882904053,0.5770328640937805
per_degradation,per_degradation,lowlight_s3,lowlight,3,calibration,2.0695141636564007,0.36126551114658373,0.64066903449629,0.4904868553960583,0.5108491517148579,1.0694036962779145,0.4987091706042239,0.024539630579643357,0.7302711231068311,0.19718612654966383,0.6634417176246643,0.7207551598548889,0.5612546801567078
raw,none,blur_s1,blur,1,calibration,1.0,0.6113346393168075,0.8162786521505184,0.7225897973580137,0.734372981486199,0.7652150956825942,0.292807135589228,0.09465426043551228,0.7783976611927723,0.07859178434073674,0.9109328985214233,0.9379180669784546,0.7910370230674744
clean_global,clean_global,blur_s1,blur,1,calibration,1.927998726450754,0.6113346393168075,0.8162786521505184,0.7225897973580137,0.734372981486199,0.5931059178333485,0.2801522401188425,0.03067549671428131,0.7773701177325834,0.07865342943867536,0.8029881119728088,0.8387265801429749,0.6442007422447205
pooled,pooled,blur_s1,blur,1,calibration,1.9671212672389797,0.6113346393168075,0.8162786521505184,0.7225897973580137,0.734372981486199,0.5932710109054589,0.28056292628225854,0.03397094897203664,0.7772205347171917,0.07868164390388924,0.7980068922042847,0.833872377872467,0.6386555433273315
per_degradation,per_degradation,blur_s1,blur,1,calibration,1.9360169736237696,0.6113346393168075,0.8162786521505184,0.7225897973580137,0.734372981486199,0.5931130152314765,0.28023066458999657,0.03133239924929367,0.7773400142531398,0.0786591002528825,0.8019686937332153,0.837734580039978,0.6430597901344299
raw,none,blur_s2,blur,2,calibration,1.0,0.5945617141734889,0.8111320971716848,0.7005853366482332,0.7195322720612958,0.7603178630317908,0.30032194186926253,0.09688144402134306,0.7881795240549746,0.07577959156757261,0.9080135226249695,0.9360328912734985,0.787678599357605
