condition,method,region,boundary_radius,pixels,nll,brier_score,ece,error_auroc,aurc,mean_wrong_confidence
color_s3,clean_global,boundary,3,2127005,1.040110292626839,0.53127064963411,0.0642935638019571,0.6137777476401727,0.3168614510157942,0.5880192518234253
color_s3,clean_global,interior,3,19401571,0.44245149980380455,0.20190137013018816,0.027793988521545902,0.7849515525095342,0.05010393997561021,0.6924762725830078
turbidity_s1,raw,boundary,3,2127005,1.3888222138494033,0.5650668345499306,0.1825711879019768,0.6145913799495024,0.31038611179229514,0.7695905566215515
turbidity_s1,raw,interior,3,19401571,0.6663082431572165,0.20391386325872465,0.07860180076769839,0.7908994385095888,0.04558242095858073,0.8601577877998352
turbidity_s1,clean_global,boundary,3,2127005,1.0240079461422869,0.5235304277151881,0.06430634508269101,0.6152076713046992,0.309235035097727,0.5915261507034302
turbidity_s1,clean_global,interior,3,19401571,0.44441027179738435,0.19475984068265012,0.020651158699997906,0.7849658030808914,0.046584641101960984,0.7155745029449463
turbidity_s2,raw,boundary,3,2127005,1.3890577269300026,0.5672226224216239,0.1836923638193741,0.6172631740362587,0.3104490434492331,0.7678109407424927
turbidity_s2,raw,interior,3,19401571,0.6538065718001328,0.20844931221597338,0.08115032881227446,0.7992488888304815,0.044914068669837284,0.851922869682312
turbidity_s2,clean_global,boundary,3,2127005,1.0252041887757082,0.5246841380985235,0.061536147763669,0.6187049956918833,0.3086976883713521,0.5894126296043396
turbidity_s2,clean_global,interior,3,19401571,0.44277079659554375,0.19800298766721003,0.018518646684499408,0.7934232383991219,0.04624893802587105,0.7053939700126648
turbidity_s3,raw,boundary,3,2127005,1.4652781489553386,0.5858216359755266,0.19515411264194685,0.6060680301937359,0.32668851968595874,0.7746286988258362
turbidity_s3,raw,interior,3,19401571,0.6683928175238039,0.2217490356414791,0.08469104781850577,0.791899518469328,0.049883459776951376,0.8467826843261719
turbidity_s3,clean_global,boundary,3,2127005,1.0556876900229137,0.538002361025979,0.06387880410211347,0.6089870105797466,0.32433845616765566,0.5968257188796997
turbidity_s3,clean_global,interior,3,19401571,0.4549519300202545,0.20929263622034783,0.02025943236254652,0.787723276677361,0.05166696570932807,0.6992440223693848
lowlight_s1,raw,boundary,3,2127005,1.3879925371149808,0.5670123394419324,0.1823441355479161,0.6165888426512949,0.31113194169208,0.7656494975090027
lowlight_s1,raw,interior,3,19401571,0.66379587623423,0.21093009412823452,0.08118422327267855,0.7995938047512212,0.0467408172508828,0.8497146964073181
lowlight_s1,clean_global,boundary,3,2127005,1.0271782930620168,0.5255887386254381,0.06382336103669368,0.6171505019293131,0.30967468202093207,0.5877953767776489
lowlight_s1,clean_global,interior,3,19401571,0.44912801979089734,0.19973807277723155,0.018153048895257207,0.7951289812643039,0.047540964048110895,0.701105535030365
lowlight_s2,raw,boundary,3,2127005,1.4362973277713262,0.5860434971852293,0.19159342597514772,0.6139626799755984,0.3238690689093778,0.7640016674995422
lowlight_s2,raw,interior,3,19401571,0.6917584784435755,0.23347077156672325,0.09077349205267744,0.801097886810509,0.05337248217655318,0.8400709629058838
lowlight_s2,clean_global,boundary,3,2127005,1.0554085274100202,0.5393567044866197,0.06064995339692611,0.6154745697212934,0.32253704039375386,0.5843393206596375
lowlight_s2,clean_global,interior,3,19401571,0.4739517553919989,0.21761108882545516,0.016785989742369674,0.7968599978949316,0.054711543534899564,0.6861061453819275
lowlight_s3,raw,boundary,3,2127005,1.850912785818557,0.6901049337125441,0.2534481737283071,0.5969855187927003,0.39292257598615227,0.7738008499145508
lowlight_s3,raw,interior,3,19401571,1.1150076664539175,0.3466725697915133,0.1426146016036648,0.7394480206759704,0.10686239161241123,0.8544607758522034
lowlight_s3,clean_global,boundary,3,2127005,1.247983224578104,0.6146083158890082,0.07016836901870321,0.6000894913184291,0.3907191016634088,0.5914573669433594
lowlight_s3,clean_global,interior,3,19401571,0.6878894731320985,0.316468472933197,0.039188791518373116,0.7337911545019481,0.11041801191846515,0.7078547477722168
blur_s1,raw,boundary,3,2127005,1.427081358787062,0.5724983886067939,0.18842682734831226,0.6068534508719856,0.31833797730691593,0.7754416465759277
blur_s1,raw,interior,3,19401571,0.6780276279721111,0.20799505887145686,0.08185368502655939,0.7879806511676516,0.04824630334504833,0.8644227385520935
blur_s1,clean_global,boundary,3,2127005,1.038937868053466,0.5284909318465107,0.06571012338726447,0.6070327682056289,0.3173491611922028,0.5968529582023621
blur_s1,clean_global,interior,3,19401571,0.445975788345954,0.19731689420521023,0.016113762694943055,0.7824459717959041,0.04911610072249411,0.7225173711776733
blur_s2,raw,boundary,3,2127005,1.5554442932962076,0.6030871880204648,0.2082409327274039,0.5952521095292649,0.3411827095951683,0.7835747003555298
blur_s2,raw,interior,3,19401571,0.6795741811118994,0.2111981196510614,0.08371184610610859,0.7904343230003882,0.04744153110032471,0.8640320301055908
blur_s2,clean_global,boundary,3,2127005,1.0913555207505683,0.5499750499657236,0.07192889999505551,0.5981910475451853,0.3385028986479591,0.605735182762146
blur_s2,clean_global,interior,3,19401571,0.44620293248417875,0.1996758382671692,0.017008574358046293,0.7839513410621687,0.048468961012274187,0.7242811918258667
blur_s3,raw,boundary,3,2127005,1.78520327915602,0.6527049840731157,0.2383387912817019,0.585919814394223,0.37107005209911065,0.790353000164032
blur_s3,raw,interior,3,19401571,0.7566713015388676,0.2407389972722763,0.0968511641192226,0.7918451911480374,0.053157805056887455,0.859333336353302
blur_s3,clean_global,boundary,3,2127005,1.1920022120488962,0.5878333922360902,0.08266431637563817,0.5906434361901358,0.3676906796355309,0.6138703227043152
blur_s3,clean_global,interior,3,19401571,0.4888648466276262,0.2233104367150861,0.016747929254316406,0.7863890774597012,0.05472248754419404,0.7149533033370972
