method,target_alpha,region,seed,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
naive_empirical,0.05,full,,0.01,0.010002983940972222,0.9899970160590278,0.03802646487273733,0.03802646487273733,0.03802646487273733,-0.011973535127262673,0.0017354310047085928,0.009622605823518286,8188.999210343984,146.0,0.08075327536074818,0.04400374632421023
naive_empirical,0.05,interior,,0.01,0.010003399332586625,0.9899966006674134,0.03788070814695135,0.03786289265932628,0.03788070814695135,-0.012119291853048652,0.0017057751670901272,0.009624641697428523,7865.220829229189,146.0,0.0770299234514907,0.04176554850307679
naive_empirical,0.1,boundary,,0.37999999999999995,0.3800913816725337,0.6199086183274662,0.42395955325743173,0.42733144144340807,0.46396493203192163,0.3239595532574317,0.3239595532574317,0.21766638366219332,123887.23085741699,146.0,0.4284665181866707,0.27735444602170134
naive_empirical,0.1,full,,0.37999999999999995,0.3800048828125,0.6199951171875,0.06619617426479053,0.06619617426479053,0.08701365584428324,-0.033803825735209465,0.0012168566826653677,0.3548500133683724,541548.5185979779,146.0,0.08075327536074818,0.04400374632421023
naive_empirical,0.1,interior,,0.37999999999999995,0.3800035837700963,0.6199964162299036,0.06440224977461867,0.06442733134988012,0.08517995217024987,-0.035597750225381336,0.0009791343819303357,0.35552096696439833,508402.12785105093,146.0,0.0770299234514907,0.04176554850307679
naive_empirical,0.15,boundary,,0.7899999999999999,0.7901001002969577,0.20989989970304235,0.458980603365363,0.46149953069693683,0.48924117887076635,0.308980603365363,0.308980603365363,0.425469274806309,278116.69268060994,146.0,0.4284665181866707,0.27735444602170134
naive_empirical,0.15,full,,0.7899999999999999,0.7900051540798612,0.20999484592013884,0.10752254892661904,0.10752254892661904,0.1294443910656418,-0.042477451073380953,0.0021415353582472586,0.705061786248028,1828709.7500635737,146.0,0.08075327536074818,0.04400374632421023
naive_empirical,0.15,interior,,0.7899999999999999,0.7900034484517146,0.20999655154828545,0.10111899923382194,0.10115506046864599,0.12342473327393844,-0.048881000766178066,0.001560033487110078,0.7100906018531424,1659457.4663233375,146.0,0.0770299234514907,0.04176554850307679
no_rejection,0.05,boundary,,1.0,1.0,0.0,0.48035573693987443,0.4823166230797376,0.5035498794030842,0.4303557369398744,0.4303557369398744,0.5176833769202625,367879.76950472366,146.0,0.4284665181866707,0.27735444602170134
no_rejection,0.05,full,,1.0,1.0,0.0,0.15751717063155246,0.15751717063155246,0.17754492258053917,0.10751717063155244,0.10751717063155244,0.8424828293684475,3391120.379246345,146.0,0.08075327536074818,0.04400374632421023
no_rejection,0.05,interior,,1.0,1.0,0.0,0.14567789650178448,0.14558719870768122,0.16641805677872704,0.09567789650178446,0.09567789650178446,0.8544128012923188,3023240.619999114,146.0,0.0770299234514907,0.04176554850307679
no_rejection,0.1,boundary,,1.0,1.0,0.0,0.48035573693987443,0.4823166230797376,0.5035498794030842,0.38035573693987446,0.38035573693987446,0.5176833769202625,367879.76950472366,146.0,0.4284665181866707,0.27735444602170134
no_rejection,0.1,full,,1.0,1.0,0.0,0.15751717063155246,0.15751717063155246,0.17754492258053917,0.05751717063155244,0.05751717063155244,0.8424828293684475,3391120.379246345,146.0,0.08075327536074818,0.04400374632421023
no_rejection,0.1,interior,,1.0,1.0,0.0,0.14567789650178448,0.14558719870768122,0.16641805677872704,0.04567789650178447,0.04567789650178447,0.8544128012923188,3023240.619999114,146.0,0.0770299234514907,0.04176554850307679
no_rejection,0.15,boundary,,1.0,1.0,0.0,0.48035573693987443,0.4823166230797376,0.5035498794030842,0.3303557369398744,0.3303557369398744,0.5176833769202625,367879.76950472366,146.0,0.4284665181866707,0.27735444602170134
