method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
raw,none,color_s1,color_attenuation,1,confirmation,1.0,0.4621549507395407,0.7565759242838117,0.6019589924292317,0.5954542363279169,0.9262426844640802,0.3722619541807992,0.1118088606278708,0.7583493623399509,0.1132340903808617,0.8683847784996033,0.903641939163208,0.7588036060333252
clean_global,clean_global,color_s1,color_attenuation,1,confirmation,1.9380236116065588,0.4621549507395407,0.7565759242838117,0.6019589924292317,0.5954542363279169,0.7295227711421556,0.3542588350491367,0.0278809420349037,0.757815514795538,0.1131112066296345,0.7434715628623962,0.7856325507164001,0.6124325394630432
pooled,pooled,color_s1,color_attenuation,1,confirmation,2.062835756016989,0.4621549507395407,0.7565759242838117,0.6019589924292317,0.5954542363279169,0.7297862442503611,0.3557455435880643,0.0372385717202318,0.757117076524112,0.1132881512714755,0.7270263433456421,0.7691580653190613,0.5960782170295715
per_degradation,per_degradation,color_s1,color_attenuation,1,confirmation,1.9751458870558352,0.4621549507395407,0.7565759242838117,0.6019589924292317,0.5954542363279169,0.7292696523780903,0.354624205692526,0.0304204614265976,0.7576208657220291,0.1131600976743269,0.7385633587837219,0.7807319760322571,0.6075010895729065
raw,none,color_s2,color_attenuation,2,confirmation,1.0,0.4555134856291946,0.7520613001595116,0.5936679417229215,0.589592015540984,0.9392085384897062,0.3804390257214065,0.1183799788324932,0.7578922233752942,0.1157175452859976,0.870441198348999,0.9057990312576294,0.7631916999816895
clean_global,clean_global,color_s2,color_attenuation,2,confirmation,1.9380236116065588,0.4555134856291946,0.7520613001595116,0.5936679417229215,0.589592015540984,0.7368107856030714,0.3593290158715955,0.0238583303732965,0.7570875786112267,0.1156523149233651,0.7436671853065491,0.7863470315933228,0.6142083406448364
pooled,pooled,color_s2,color_attenuation,2,confirmation,2.062835756016989,0.4555134856291946,0.7520613001595116,0.5936679417229215,0.589592015540984,0.7369932144332108,0.3605811742130549,0.033070721144048,0.7563539083753946,0.1158382082286948,0.7269333600997925,0.7696049213409424,0.5974996089935303
per_degradation,per_degradation,color_s2,color_attenuation,2,confirmation,1.9751458870558352,0.4555134856291946,0.7520613001595116,0.5936679417229215,0.589592015540984,0.7365258194158995,0.3596204656811521,0.0263755903780317,0.7568827794963091,0.1157034624090994,0.7386723756790161,0.7813667058944702,0.6091697216033936
raw,none,color_s3,color_attenuation,3,confirmation,1.0,0.4497869005083754,0.7475450038391498,0.582282430836434,0.5834927842481341,0.972961697310358,0.3911920551084343,0.1252249521525423,0.752114558657459,0.1202921670035664,0.8727699518203735,0.9070929288864136,0.7711362242698669
clean_global,clean_global,color_s3,color_attenuation,3,confirmation,1.9380236116065588,0.4497869005083754,0.7475450038391498,0.582282430836434,0.5834927842481341,0.7525133305670438,0.3669582823851913,0.0227732120640609,0.7517504058756381,0.120032328570113,0.7455537915229797,0.7878769040107727,0.6202306747436523
