condition,comparison,metric,mean_difference,ci95_low,ci95_high,iterations,unit
lowlight_s1,per_degradation_minus_clean_global,ece,0.008817107331554051,0.007047142699089307,0.010647946893458894,1000,image
lowlight_s2,pooled_minus_clean_global,nll,0.0018007894595191904,-0.0018980605004687014,0.004886866739810737,1000,image
lowlight_s2,pooled_minus_clean_global,brier_score,0.0006295484171746529,-0.00017977840847603673,0.0013658833501809466,1000,image
lowlight_s2,pooled_minus_clean_global,ece,0.005660635525168217,0.004331864892706537,0.006835581589672162,1000,image
lowlight_s2,per_degradation_minus_clean_global,nll,0.003170334721264774,-0.0017920036685385114,0.007905103401472307,1000,image
lowlight_s2,per_degradation_minus_clean_global,brier_score,0.0010519663560880374,-0.00018930842187765934,0.0021366443973009105,1000,image
lowlight_s2,per_degradation_minus_clean_global,ece,0.008564502964326988,0.006631152635818755,0.010350839295175386,1000,image
lowlight_s3,pooled_minus_clean_global,nll,-0.004784845785327153,-0.00876141345536668,-0.001007012843014035,1000,image
lowlight_s3,pooled_minus_clean_global,brier_score,-0.0006890305483790293,-0.0015805516111320013,0.00011200288259615625,1000,image
lowlight_s3,pooled_minus_clean_global,ece,0.0033198816995910394,0.0018859505627250204,0.0046913831665524935,1000,image
lowlight_s3,per_degradation_minus_clean_global,nll,-0.006466876256139311,-0.012326133797225887,-0.0011337294039150626,1000,image
lowlight_s3,per_degradation_minus_clean_global,brier_score,-0.0009225656291189259,-0.0022232109122616176,0.0002681241702441481,1000,image
lowlight_s3,per_degradation_minus_clean_global,ece,0.004932357508166774,0.002956560936061793,0.0070136258418699755,1000,image
blur_s1,pooled_minus_clean_global,nll,0.0009854640811681747,-0.00323802943992084,0.004338508207759219,1000,image
blur_s1,pooled_minus_clean_global,brier_score,0.0006222190424697856,-0.00016422404394140594,0.00132459901075504,1000,image
blur_s1,pooled_minus_clean_global,ece,0.0054224075794355835,0.004177137656109221,0.006588578827881561,1000,image
blur_s1,per_degradation_minus_clean_global,nll,0.00405069560526985,-0.00381239341980178,0.011492452596327009,1000,image
blur_s1,per_degradation_minus_clean_global,brier_score,0.0017766865569945067,-2.6197644741567726e-06,0.003375359295790836,1000,image
blur_s1,per_degradation_minus_clean_global,ece,0.012567015072710347,0.009853775223912129,0.015293003049144181,1000,image
blur_s2,pooled_minus_clean_global,nll,0.0006456391196953107,-0.003499591212132818,0.003966164453695081,1000,image
blur_s2,pooled_minus_clean_global,brier_score,0.00044314037651231846,-0.00034623169276404054,0.0011593462892948356,1000,image
blur_s2,pooled_minus_clean_global,ece,0.005384793838490999,0.004089873024384563,0.006599895492458346,1000,image
blur_s2,per_degradation_minus_clean_global,nll,0.003321860878639025,-0.0040132788143898935,0.010241063942571411,1000,image
blur_s2,per_degradation_minus_clean_global,brier_score,0.0013701698347313763,-0.00040749400560680316,0.0029773385661067313,1000,image
blur_s2,per_degradation_minus_clean_global,ece,0.012552599956509806,0.009924658479834446,0.015006138993101758,1000,image
blur_s3,pooled_minus_clean_global,nll,-0.0007244538617868946,-0.00481839750651015,0.002672282712253396,1000,image
blur_s3,pooled_minus_clean_global,brier_score,-1.018393580635933e-05,-0.0008021116700048928,0.0006882516284511512,1000,image
blur_s3,pooled_minus_clean_global,ece,0.004026018612001326,0.002739716200219674,0.005363303300931877,1000,image
blur_s3,per_degradation_minus_clean_global,nll,0.0003963170241411418,-0.007421965637461168,0.007867489226341041,1000,image
blur_s3,per_degradation_minus_clean_global,brier_score,0.00036143247446376983,-0.0012750326652615647,0.0019492824577841243,1000,image
blur_s3,per_degradation_minus_clean_global,ece,0.009823459666677773,0.00716921703248218,0.012623781705595655,1000,image
all_conditions,pooled_minus_clean_global,nll,0.0009181170426976442,-5.0351584283095254e-05,0.0018708847936152533,1000,image
all_conditions,pooled_minus_clean_global,brier_score,0.0005720178640837162,0.0003621506804891826,0.0007820792344459641,1000,image
all_conditions,pooled_minus_clean_global,ece,0.005414545359619254,0.005069384383552987,0.0057540381880722795,1000,image
all_conditions,per_degradation_minus_clean_global,nll,0.0007315055733140327,-0.0006460086242820835,0.002026009854533806,1000,image
all_conditions,per_degradation_minus_clean_global,brier_score,0.0004574243956735187,0.00016114208162776945,0.0007254872098172552,1000,image
all_conditions,per_degradation_minus_clean_global,ece,0.00505364914972674,0.004549654667027035,0.005544622602840336,1000,image
