condition,degradation_type,severity,split,class_id,class_name,iou,dice,accuracy,classwise_ece
turbidity_s2,turbidity,2,val,1,human_divers,0.7491548970971208,0.8565906865543016,0.8363673469387755,0.0014041594226460183
turbidity_s2,turbidity,2,val,2,aquatic_plants,0.13680389156730852,0.2406816031896185,0.1919633634047242,0.021828293707402815
turbidity_s2,turbidity,2,val,3,wrecks_ruins,0.6445430563307603,0.7838567118684497,0.7269807709724979,0.01802598339841921
turbidity_s2,turbidity,2,val,4,robots_instruments,0.3193951080889069,0.48415384615384616,0.34753511794328124,0.0011575139297599105
turbidity_s2,turbidity,2,val,5,reefs_invertebrates,0.7935557342582138,0.884896654283694,0.9092349390429765,0.057015579782817606
turbidity_s2,turbidity,2,val,6,fish_vertebrates,0.6611492276149836,0.7960142492005214,0.8334978198930711,0.012437047959503515
turbidity_s2,turbidity,2,val,7,seafloor_rocks,0.6188588076607846,0.7645618070361825,0.766812112190041,0.04813207781820618
turbidity_s2,turbidity,2,calibration,0,background_waterbody,0.8747145597285737,0.9331709248102465,0.9582889362386556,0.023201442167695884
turbidity_s2,turbidity,2,calibration,1,human_divers,0.7519442692256737,0.8584111748691856,0.8238677724625624,0.002401950245031824
turbidity_s2,turbidity,2,calibration,2,aquatic_plants,0.19316149173135336,0.3237809685779646,0.23868467214546174,0.014978508828104689
turbidity_s2,turbidity,2,calibration,3,wrecks_ruins,0.7615702963401582,0.8646493391974173,0.8238613875136273,0.013342313902222944
turbidity_s2,turbidity,2,calibration,4,robots_instruments,0.8233629409622012,0.9031256723115223,0.9386379607742925,0.00026779276297983734
turbidity_s2,turbidity,2,calibration,5,reefs_invertebrates,0.71457950009517,0.8335332366396616,0.8593744337892621,0.08213391192378781
turbidity_s2,turbidity,2,calibration,6,fish_vertebrates,0.704988580231031,0.8269716154175096,0.8029600309817818,0.009712466290944122
turbidity_s2,turbidity,2,calibration,7,seafloor_rocks,0.44944143263453845,0.6201581140365544,0.5872531699577339,0.07444651304766155
turbidity_s3,turbidity,3,val,0,background_waterbody,0.8358505204657032,0.9105866857326397,0.9244089796638368,0.03008157074312529
turbidity_s3,turbidity,3,val,1,human_divers,0.740915516738114,0.8511791751116546,0.8128948194662481,0.0017019099542970439
turbidity_s3,turbidity,3,val,2,aquatic_plants,0.12223127498721034,0.2178361585736476,0.16986149876244142,0.02251457690901666
turbidity_s3,turbidity,3,val,3,wrecks_ruins,0.6273378689164129,0.770998919031037,0.7174701898849762,0.018967566377537305
turbidity_s3,turbidity,3,val,4,robots_instruments,0.24440223335060152,0.39280262731856236,0.2813411078717201,0.0013971421625796942
turbidity_s3,turbidity,3,val,5,reefs_invertebrates,0.7815276613330663,0.8773679783880217,0.8917951928746365,0.061781345517197356
turbidity_s3,turbidity,3,val,6,fish_vertebrates,0.6589015590607638,0.794382952336027,0.8240397853157694,0.012268082111166409
turbidity_s3,turbidity,3,val,7,seafloor_rocks,0.5918904551653331,0.7436321428334208,0.7290578145141413,0.05197654407062724
turbidity_s3,turbidity,3,calibration,0,background_waterbody,0.8471675392995898,0.917261180998037,0.9617125020185362,0.03518999166378419
turbidity_s3,turbidity,3,calibration,1,human_divers,0.7170055205063098,0.8351813805407913,0.7763536466999446,0.003408900857636722
turbidity_s3,turbidity,3,calibration,2,aquatic_plants,0.1852078822873307,0.31253231615351446,0.22765410088593838,0.015114643494886502
turbidity_s3,turbidity,3,calibration,3,wrecks_ruins,0.7290237547634375,0.8432778933834618,0.8008050199171834,0.01595665710409744
turbidity_s3,turbidity,3,calibration,4,robots_instruments,0.8044143823424706,0.8916071499033263,0.9022232159969334,0.00017971699358463526
turbidity_s3,turbidity,3,calibration,5,reefs_invertebrates,0.7036919940757286,0.8260788881120371,0.8309785346478865,0.08391506588979758
turbidity_s3,turbidity,3,calibration,6,fish_vertebrates,0.6787218858079869,0.808617426800641,0.7788116602367784,0.011758562443995743
turbidity_s3,turbidity,3,calibration,7,seafloor_rocks,0.4088921666754465,0.5804449429799963,0.5692057439234144,0.0910752482940271
lowlight_s1,lowlight,1,val,0,background_waterbody,0.8468989014985849,0.9171036929107556,0.8938887129821106,0.0264507863636744
lowlight_s1,lowlight,1,val,1,human_divers,0.7620292133181401,0.8649450390020897,0.8797645211930927,0.0011902138840166505
lowlight_s1,lowlight,1,val,2,aquatic_plants,0.1476083812220091,0.2572452129790671,0.22303600870139392,0.0229326585895597
lowlight_s1,lowlight,1,val,3,wrecks_ruins,0.6454469846427604,0.7845248016700971,0.7432128258845784,0.01754352581392845
lowlight_s1,lowlight,1,val,4,robots_instruments,0.27000461080605276,0.4252025677838837,0.2845436876049121,0.0013157635822778695
lowlight_s1,lowlight,1,val,5,reefs_invertebrates,0.7908792023233968,0.8832300931267166,0.9072392864750611,0.05704419720543001
lowlight_s1,lowlight,1,val,6,fish_vertebrates,0.6514591313020959,0.7889497462628116,0.8303869233529363,0.013940168536748404
