method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
raw,color_s1,calibration,1,human_divers,0.7556533762905354,0.8608229693803586,0.8323453965612867,0.0021001142852152617
raw,color_s1,calibration,2,aquatic_plants,0.1882464789422615,0.316847526634091,0.2503069115703707,0.01611051776710441
raw,color_s1,calibration,3,wrecks_ruins,0.7664835091804699,0.8678071492850414,0.8342273498457315,0.012446395895822863
raw,color_s1,calibration,4,robots_instruments,0.7395542783083988,0.850280198244307,0.8384654698779787,0.0002782651168102262
raw,color_s1,calibration,5,reefs_invertebrates,0.7195843789687313,0.836928257513342,0.8740697556317394,0.08163914612367804
raw,color_s1,calibration,6,fish_vertebrates,0.7081481839141509,0.8291413948542317,0.8033725006011758,0.009742400530475865
raw,color_s1,calibration,7,seafloor_rocks,0.45130382341416053,0.6219288010314452,0.5754653271289716,0.07173135485793794
clean_global,color_s1,calibration,0,background_waterbody,0.8808520487206069,0.9366521405229933,0.9511832073199586,0.022034241610931007
clean_global,color_s1,calibration,1,human_divers,0.7556533762905354,0.8608229693803586,0.8323453965612867,0.008182462498836708
clean_global,color_s1,calibration,2,aquatic_plants,0.1882464789422615,0.316847526634091,0.2503069115703707,0.008538970097271094
clean_global,color_s1,calibration,3,wrecks_ruins,0.7664835091804699,0.8678071492850414,0.8342273498457315,0.007836282757538664
clean_global,color_s1,calibration,4,robots_instruments,0.7395542783083988,0.850280198244307,0.8384654698779787,0.0035981327351384696
clean_global,color_s1,calibration,5,reefs_invertebrates,0.7195843789687313,0.836928257513342,0.8740697556317394,0.026748519733090476
clean_global,color_s1,calibration,6,fish_vertebrates,0.7081481839141509,0.8291413948542317,0.8033725006011758,0.019480281676911255
clean_global,color_s1,calibration,7,seafloor_rocks,0.45130382341416053,0.6219288010314452,0.5754653271289716,0.03475158678179158
pooled,color_s1,calibration,0,background_waterbody,0.8808520487206069,0.9366521405229933,0.9511832073199586,0.025971729397671683
pooled,color_s1,calibration,1,human_divers,0.7556533762905354,0.8608229693803586,0.8323453965612867,0.009121895737376491
pooled,color_s1,calibration,2,aquatic_plants,0.1882464789422615,0.316847526634091,0.2503069115703707,0.01011212395765121
pooled,color_s1,calibration,3,wrecks_ruins,0.7664835091804699,0.8678071492850414,0.8342273498457315,0.008353536712512492
pooled,color_s1,calibration,4,robots_instruments,0.7395542783083988,0.850280198244307,0.8384654698779787,0.004106067652258249
pooled,color_s1,calibration,5,reefs_invertebrates,0.7195843789687313,0.836928257513342,0.8740697556317394,0.02506191006074361
pooled,color_s1,calibration,6,fish_vertebrates,0.7081481839141509,0.8291413948542317,0.8033725006011758,0.02207783587955848
pooled,color_s1,calibration,7,seafloor_rocks,0.45130382341416053,0.6219288010314452,0.5754653271289716,0.03163040687177189
per_degradation,color_s1,calibration,0,background_waterbody,0.8808520487206069,0.9366521405229933,0.9511832073199586,0.02172754023683398
per_degradation,color_s1,calibration,1,human_divers,0.7556533762905354,0.8608229693803586,0.8323453965612867,0.008112220924072084
per_degradation,color_s1,calibration,2,aquatic_plants,0.1882464789422615,0.316847526634091,0.2503069115703707,0.008415195287210516
per_degradation,color_s1,calibration,3,wrecks_ruins,0.7664835091804699,0.8678071492850414,0.8342273498457315,0.007851792539404458
per_degradation,color_s1,calibration,4,robots_instruments,0.7395542783083988,0.850280198244307,0.8384654698779787,0.0035595906852818764
per_degradation,color_s1,calibration,5,reefs_invertebrates,0.7195843789687313,0.836928257513342,0.8740697556317394,0.0270040254035516
per_degradation,color_s1,calibration,6,fish_vertebrates,0.7081481839141509,0.8291413948542317,0.8033725006011758,0.01927529015975036
per_degradation,color_s1,calibration,7,seafloor_rocks,0.45130382341416053,0.6219288010314452,0.5754653271289716,0.03499832484190774
raw,color_s2,calibration,0,background_waterbody,0.8775579949358187,0.9347865656376879,0.9550355214212036,0.02118605930929441
raw,color_s2,calibration,1,human_divers,0.732529100281345,0.8456182354020948,0.8134207744037715,0.0024636604057488285
raw,color_s2,calibration,2,aquatic_plants,0.1754197756215241,0.29848021831820515,0.25700032059552574,0.017766220584617343
raw,color_s2,calibration,3,wrecks_ruins,0.7611562153285361,0.8643823968636941,0.8400098139288351,0.013428208673181233
raw,color_s2,calibration,4,robots_instruments,0.7324972801317299,0.8455970332906204,0.7957420302817352,0.0003267196594022321
raw,color_s2,calibration,5,reefs_invertebrates,0.7064061983851634,0.8279461233247538,0.85050428801759,0.08736271958139534
raw,color_s2,calibration,6,fish_vertebrates,0.6984904603108467,0.8224838191708342,0.7961496262302193,0.010409273930660922
raw,color_s2,calibration,7,seafloor_rocks,0.4477751888074726,0.6185700546178077,0.5841955440594125,0.07455665724445648
clean_global,color_s2,calibration,0,background_waterbody,0.8775579949358187,0.9347865656376879,0.9550355214212036,0.020864913152187747
clean_global,color_s2,calibration,1,human_divers,0.732529100281345,0.8456182354020948,0.8134207744037715,0.008418199212720679
clean_global,color_s2,calibration,2,aquatic_plants,0.1754197756215241,0.29848021831820515,0.25700032059552574,0.01068351816257653
