method,fit_scope,seed,target_alpha,condition,region,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s2,boundary,0.018767123287671234,0.01901184552957449,0.9809881544704255,0.3638266348726537,0.38042204039855076,0.37387026216171376,0.3138266348726537,0.3138266348726537,0.011779320461471699,5516.500007819384,146,0.43250184838060446,0.2799677288344093
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s2,interior,0.018767123287671234,0.018765047849494756,0.9812349521505053,0.04313217898135469,0.05411027113416056,0.04484504730638423,-0.006867821018645311,0.0,0.017749666022513096,21085.257573390612,146,0.073742605894689,0.041780222911336255
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s3,full,0.018356164383561645,0.018358808311334664,0.9816411916886654,0.043902340627750634,0.055548578006728126,0.04542751754642056,-0.0060976593722493685,0.0,0.017339002615741922,21954.96442280122,146,0.08845410226335848,0.04955449357031113
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s3,boundary,0.018356164383561645,0.01870374376421693,0.9812962562357831,0.37937361948600373,0.3999953278163222,0.38659517556326845,0.32937361948600374,0.32937361948600374,0.011222333645856487,5706.333346627653,146,0.4535322001955969,0.28728717200331083
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s3,interior,0.018356164383561645,0.018350328310806192,0.9816496716891938,0.04387547736744275,0.055203035680870274,0.04528680136359507,-0.00612452263255725,0.0,0.017337334482309074,21035.668776552426,146,0.08427988374183738,0.047139702536405224
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,clean,full,0.02219178082191781,0.02219426867805841,0.9778057313219416,0.04051418983527421,0.044755812245699765,0.04166297199545836,-0.009485810164725793,0.0,0.02120094615617261,21384.81940493005,146,0.07209341763593315,0.03825865009882373
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,clean,boundary,0.02219178082191781,0.02316794168354671,0.9768320583164533,0.34913321571705275,0.36725897310534295,0.3613157717587605,0.29913321571705276,0.29913321571705276,0.014659307211882876,6489.833313744515,146,0.41797494622917003,0.2737444500968542
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,clean,interior,0.02219178082191781,0.022162839443873233,0.9778371605561268,0.040306538679519006,0.044365917991450496,0.04131902437075041,-0.009693461320480996,0.0,0.02117956472664867,20418.526437205262,146,0.06861003499507132,0.03610580936377746
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,color_s1,full,0.02041095890410959,0.02041351922207953,0.9795864807779204,0.02637925805374087,0.03677248202063818,0.02882109625083203,-0.023620741946259134,0.0,0.019662863453507658,16160.549763537943,146,0.0719648485036804,0.03783488663502834
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,color_s1,boundary,0.02041095890410959,0.021088582535218652,0.9789114174647814,0.34556065151493437,0.3700031102733107,0.3576281942707831,0.2955606515149344,0.2955606515149344,0.013285741405932331,5951.500028746203,146,0.41865243744079583,0.2738825749451398
quality_group_crc_global_fallback,calibration_quality_group,20260724.0,0.05,color_s1,interior,0.02041095890410959,0.020393009847277554,0.9796069901527225,0.026049928662123172,0.036177598350330895,0.02838362013336673,-0.02395007133787683,0.0,0.019655239727868406,15320.416994201427,146,0.06842291599015633,0.03564758261635715
