condition,boundary_radius,method,region,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
color_s2,3,raw,boundary,2127005,0.3710296872832927,1.387654987955482,0.5675327732594511,0.18405161339592793,0.6156046282205121,0.3124336316059534,0.07939425442308107,0.23303937718287232,0.7672433853149414
color_s2,3,raw,interior,19401571,0.1257802783083906,0.6323048107644221,0.20805335171053932,0.0797814160700931,0.7910521727700156,0.0479142167382312,0.008264571111436506,0.0396496456267947,0.8428535461425781
color_s2,3,clean_global,boundary,2127005,0.3710296872832927,1.0253977772589862,0.5251875500630582,0.06463829019500993,0.6156918137853453,0.31120609550887396,0.07939425442308107,0.2318118410857929,0.5896475911140442
color_s2,3,clean_global,interior,19401571,0.1257802783083906,0.4362337458233408,0.19832864046003026,0.0243531715355745,0.7858260127043971,0.04914265677500293,0.008264571111436506,0.040878085663566426,0.7000322937965393
color_s2,5,raw,boundary,3278017,0.31791018777510915,1.2416287402304693,0.4932208386793944,0.15670496740477252,0.6531546913201813,0.24096283699258902,0.0569467588572634,0.1840160781353256,0.7748039960861206
color_s2,5,raw,interior,18250559,0.11985397269201453,0.6108950162627553,0.1987292915332758,0.0781171679437459,0.794405341854953,0.044964352422592974,0.00748797802341352,0.03747637439917945,0.8479944467544556
color_s2,5,clean_global,boundary,3278017,0.31791018777510915,0.9276917872051151,0.46553054991497145,0.06329222148409361,0.6535864221686951,0.2395245700692603,0.0569467588572634,0.1825778112119969,0.598003089427948
color_s2,5,clean_global,interior,18250559,0.11985397269201453,0.41662595251705714,0.18842966758579832,0.02053175818508787,0.7888911792852857,0.0462026881244109,0.00748797802341352,0.038714710100997377,0.7088155150413513
color_s3,1,raw,boundary,762735,0.47823818233069154,1.7120774675694213,0.7185291612994683,0.2635263446382353,0.5528001876835666,0.45127576043615775,0.13880911899541723,0.31246664144074054,0.7676118016242981
color_s3,1,raw,interior,20765841,0.14103122527038514,0.6711992657760345,0.2291294360061525,0.08392900144459356,0.7907095165783791,0.05356144219021068,0.010448465721449132,0.04311297646876155,0.8261925578117371
color_s3,1,clean_global,boundary,762735,0.47823818233069154,1.2010796390825451,0.6295755810478697,0.08897831517387202,0.5548369624469465,0.4499195756771243,0.13880911899541723,0.3111104566817071,0.587171196937561
color_s3,1,clean_global,interior,20765841,0.14103122527038514,0.47580392399289295,0.2199294418325027,0.02983502946455672,0.785047478778004,0.055157493017642494,0.010448465721449132,0.04470902729619336,0.6770246028900146
color_s3,3,raw,boundary,2127005,0.376559528538955,1.4121750960784647,0.5754740453713085,0.18820206616008128,0.6144079497415572,0.3175835367111417,0.08198266311838753,0.23560087359275417,0.7666131854057312
color_s3,3,raw,interior,19401571,0.12846676178954786,0.6308857783064642,0.2103992830738423,0.07955779802738952,0.7911288990426343,0.048486761067787376,0.008629829749614033,0.03985693131817335,0.8367649912834167
color_s3,3,clean_global,boundary,2127005,0.376559528538955,1.040110292626839,0.53127064963411,0.0642935638019571,0.6137777476401727,0.3168614510157942,0.08198266311838753,0.23487878789740668,0.5880192518234253
color_s3,3,clean_global,interior,19401571,0.12846676178954786,0.44245149980380455,0.20190137013018816,0.027793988521545902,0.7849515525095342,0.05010393997561021,0.008629829749614033,0.041474110225996175,0.6924762725830078
color_s3,5,raw,boundary,3278017,0.32363987130024036,1.2627732574535535,0.501048505408815,0.15992093613579217,0.6516773905557467,0.24589747426291364,0.059163033935602176,0.18673444032731146,0.7731966376304626
color_s3,5,raw,interior,18250559,0.12232523946252824,0.6084463737992559,0.20074273716531266,0.07778552835253505,0.7942728192374815,0.04544376069519519,0.0078069509912312915,0.0376368097039639,0.8418049812316895
color_s3,5,clean_global,boundary,3278017,0.32363987130024036,0.9422785952318886,0.4721172126390551,0.06279220127863903,0.65112981157169,0.24510051886538708,0.059163033935602176,0.1859374849297849,0.5955043435096741
color_s3,5,clean_global,interior,18250559,0.12232523946252824,0.42233056909380146,0.1917536275768149,0.024228715103106452,0.7878020441644699,0.04707281427391948,0.0078069509912312915,0.03926586328268819,0.7010823488235474
turbidity_s1,1,raw,boundary,762735,0.4729650533933804,1.6890566411499406,0.7113498344977286,0.25752298570975235,0.5491645641342322,0.4488318096809423,0.1354052730020025,0.31342653667893977,0.768012285232544
turbidity_s1,1,raw,interior,20765841,0.1315902881082447,0.7027481092627069,0.22226780436032545,0.08267936723412252,0.7908638113774276,0.05036837672185005,0.009064922573493615,0.041303454148356435,0.8463793992996216
turbidity_s1,1,clean_global,boundary,762735,0.4729650533933804,1.1873499687545068,0.6251260545802072,0.0890599014966588,0.5519265997032164,0.44721772796008563,0.1354052730020025,0.31181245495808313,0.5893934369087219
turbidity_s1,1,clean_global,interior,20765841,0.1315902881082447,0.4764889623902061,0.2126277109740583,0.023623237635308495,0.7854724568544594,0.05137962408444394,0.009064922573493615,0.04231470151095032,0.6966986656188965
turbidity_s1,3,raw,boundary,2127005,0.3680071273927424,1.3888222138494033,0.5650668345499306,0.1825711879019768,0.6145913799495024,0.31038611179229514,0.07800003134165288,0.23238608045064224,0.7695905566215515
turbidity_s1,3,raw,interior,19401571,0.11909226319868634,0.6663082431572165,0.20391386325872465,0.07860180076769839,0.7908994385095888,0.04558242095858073,0.007391062028572621,0.03819135893000811,0.8601577877998352
